Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Matteo Gabbia,ITA,"Milan, Villarreal","Italian Serie A, Spanish La Liga, UEFA Europa League",CB,Defender,24,2742,1,80,41,56,54,47,54
Matteo Lovato,ITA,"Salernitana, Torino",Italian Serie A,CB,Defender,24,1491,1,39,26,31,16,63,42
Matteo Perez Vinlöf,SWE,Bayern Munich,German Bundesliga,LW,Forward,18,16,1,30,12,33,56,39,30
Matteo Pessina,ITA,Monza,Italian Serie A,CM,Midfielder,27,3222,1,54,42,67,68,36,52
Matteo Politano,ITA,Napoli,"Italian Serie A, UEFA Champions League",RW,Forward,30,2936,1,63,75,81,84,42,72
Matteo Prati,ITA,Cagliari,Italian Serie A,CM,Midfielder,20,1972,1,54,46,35,13,46,38
Matteo Ruggeri,ITA,Atalanta,"Italian Serie A, UEFA Europa League",WB,Midfielder,21,3320,1,58,56,63,70,54,60
Matthias Bader,GER,Darmstadt 98,German Bundesliga,WB,Midfielder,26,1802,1,59,62,42,54,61,56
Matthias Ginter,GER,Freiburg,"German Bundesliga, UEFA Europa League",CB,Defender,30,2668,1,31,59,64,59,40,49
Matthieu Udol,FRA,Metz,French Ligue 1,LB,Defender,28,2700,1,83,76,49,53,64,62
Matthijs de Ligt,NED,Bayern Munich,"German Bundesliga, UEFA Champions League",CB,Defender,24,1858,1,82,44,71,65,45,59
Matthis Abline,FRA,Nantes,French Ligue 1,AM,Forward,21,1044,1,85,59,39,49,42,60
Matti Peltola,FIN,HJK,UEFA Europa Conference League,CB,Defender,21,314,1,29,63,67,62,82,67
Mattia Bani,ITA,Genoa,Italian Serie A,CB,Defender,30,2306,1,76,22,27,22,35,35
Mattia Bottani,SUI,Lugano,UEFA Europa Conference League,LW,Forward,32,199,1,27,70,84,76,57,60
Mattia Caldara,ITA,Milan,Italian Serie A,CB,Defender,30,33,1,27,48,45,39,92,60
Mattia De Sciglio,ITA,Juventus,Italian Serie A,LB,Defender,31,45,1,37,43,51,36,32,38
Mattia Destro,ITA,Empoli,Italian Serie A,AM,Forward,33,366,1,32,21,25,15,45,25
Mattia Mannini,ITA,Roma,UEFA Europa League,WB,Midfielder,17,5,1,35,11,32,55,28,33
Mattia Viti,ITA,Sassuolo,Italian Serie A,CB,Defender,22,979,1,69,28,40,26,56,47
Mattia Zaccagni,ITA,Lazio,"Italian Serie A, UEFA Champions League",LW,Forward,28,2416,1,57,63,58,78,64,63
Mattias Svanberg,SWE,Wolfsburg,German Bundesliga,CM,Midfielder,25,1715,1,50,68,53,45,49,52
Matty Cash,POL,Aston Villa,"English Premier League, UEFA Europa Conference League",RB,Defender,26,2906,1,58,78,62,73,43,57
Mattéo Guendouzi,FRA,"Lazio, Marseille","French Ligue 1, Italian Serie A, UEFA Champions League",RM,Midfielder,25,2881,1,52,57,55,48,30,45
Matìas Soulé,ARG,Frosinone,Italian Serie A,RW,Forward,21,3121,1,60,80,80,82,62,73
Matías Galarza,ARG,Genk,UEFA Europa Conference League,DM,Midfielder,21,375,1,47,35,46,34,58,46
Matías Tissera,ARG,Ludogorets,UEFA Europa Conference League,AM,Forward,27,108,1,75,67,51,20,11,55
Matías Vecino,URU,Lazio,"Italian Serie A, UEFA Champions League",CM,Midfielder,32,1622,1,92,50,62,52,62,62
Matías Viña,URU,Sassuolo,Italian Serie A,LB,Defender,26,1014,1,41,85,63,61,56,58
Matúš Bero,SVK,Bochum,German Bundesliga,RW,Midfielder,28,1661,1,43,49,28,23,46,38
Matěj Jurásek,CZE,Slavia Prague,UEFA Europa League,AM,Forward,20,73,1,84,46,81,55,34,64
Matěj Ryneš,CZE,Sparta Prague,UEFA Europa League,LM,Midfielder,22,352,1,37,59,42,58,52,50
