Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,173,2.08,1.56,0.52,1.2,-0.36,0.0,1.56,5.72,21.85,1.56,539.9,3.64,133.18,11.97,0.0,2.08,38.24,1,25.0,27.27,0.0,14.42
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1170,4.69,2.08,2.62,1.72,-0.36,0.15,6.31,20.31,37.0,3.23,1335.72,7.31,387.98,13.15,0.85,2.46,45.22,1,55.86,31.07,6.46,20.49
Florian Wiegele,AUT,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,24,90,6.0,0.0,6.0,2.1,2.1,1.0,4.0,8.0,29.0,3.0,899.0,0.0,0.0,9.0,0.0,2.0,33.0,1,100.0,50.0,0.0,35.0
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,270,4.0,0.67,3.0,1.37,0.7,0.33,3.67,12.0,23.67,5.67,764.57,4.67,236.07,17.33,0.67,0.33,4.57,1,75.0,30.58,3.87,25.69
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,720,4.38,1.88,2.5,1.36,-0.51,0.38,6.38,18.25,30.75,3.62,1190.4,5.25,257.51,13.0,0.75,0.62,13.8,1,57.08,34.96,5.77,17.72
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,1170,4.62,1.69,2.85,1.66,-0.03,0.23,6.31,20.77,27.46,4.0,1077.55,6.85,410.61,15.15,1.46,0.85,15.46,1,61.69,30.38,9.64,22.17
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1530,4.59,1.06,3.59,1.2,0.14,0.29,3.88,10.0,34.0,4.65,980.97,3.71,151.24,10.35,1.65,2.88,60.13,1,78.21,38.8,15.94,20.45
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,1440,2.62,0.94,1.62,0.9,-0.04,0.44,2.31,6.94,24.69,3.5,685.44,2.56,105.93,11.62,0.69,0.56,8.43,1,61.83,33.29,5.94,21.24
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,755,4.29,1.79,2.38,1.31,-0.48,0.36,3.46,10.61,30.99,4.77,948.58,4.29,171.91,9.42,0.24,1.55,37.76,1,55.48,32.61,2.55,16.94
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,180,1.0,0.5,0.5,0.55,0.05,0.5,6.0,16.0,27.5,5.5,919.75,8.5,465.7,16.0,0.5,0.0,0.0,1,50.0,37.5,3.12,27.5
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,1620,3.67,1.22,2.5,1.23,0.01,0.44,3.11,10.28,30.06,3.72,962.23,3.83,135.33,12.22,0.28,1.11,21.66,1,68.12,30.25,2.29,22.83
