Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
32,Marcos Ignacio Ledesma,ar ARG,GK,Gimnasia–LP,27,1996,18,18,1620,18.0,11,0.61,53,43,79.2,5,6,7,9,50.0,1,0,0,1,,Matches,32,Marcos Ignacio Ledesma,ar ARG,GK,Gimnasia–LP,27,1996,18.0,11,0,0,0,1,12.4,0.23,+2.4,+0.13,92,257,35.8,354,100,43.8,38.2,170,60.0,45.8,298,32,10.7,21,1.17,12.9,Matches
33,Luis Ingolotti,ar ARG,GK,Cen. Córdoba–SdE,24,2000,26,26,2340,26.0,34,1.31,110,75,70.9,8,7,11,6,23.1,3,2,1,0,33.3,Matches,33,Luis Ingolotti,ar ARG,GK,Cen. Córdoba–SdE,24,2000,26.0,34,2,1,3,0,32.4,0.29,-1.6,-0.06,95,313,30.4,536,119,43.8,36.8,161,48.4,41.1,316,24,7.6,23,0.88,13.9,Matches
34,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,28,1995,9,9,809,9.0,11,1.22,36,25,69.4,3,2,4,1,11.1,0,0,0,0,,Matches,34,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,28,1995,9.0,11,0,0,0,0,8.7,0.25,-2.3,-0.26,52,116,44.8,200,45,41.5,36.2,69,47.8,40.3,142,12,8.5,9,1.00,14.8,Matches
35,Jeremías Ledesma,ar ARG,GK,River Plate,30,1993,4,4,360,4.0,3,0.75,18,15,83.3,0,4,0,2,50.0,0,0,0,0,,Matches,35,Jeremías Ledesma,ar ARG,GK,River Plate,30,1993,4.0,3,0,0,0,0,3.5,0.20,+0.5,+0.13,11,26,42.3,102,30,17.6,29.1,26,30.8,37.7,53,2,3.8,3,0.75,15.6,Matches
36,Nahuel Losada,ar ARG,GK,Belgrano,30,1993,5,5,450,5.0,9,1.80,27,19,74.1,2,2,1,1,20.0,2,2,0,0,0.0,Matches,36,Nahuel Losada,ar ARG,GK,Belgrano,30,1993,5.0,9,2,0,1,1,7.8,0.23,-0.2,-0.04,25,73,34.2,128,24,42.2,36.9,36,52.8,41.4,114,6,5.3,4,0.80,11.5,Matches
37,Nahuel Losada,ar ARG,GK,Lanús,30,1993,17,17,1530,17.0,17,1.00,74,58,78.4,5,8,4,8,47.1,1,1,0,0,0.0,Matches,37,Nahuel Losada,ar ARG,GK,Lanús,30,1993,17.0,17,1,1,0,1,21.0,0.28,+5.0,+0.29,73,208,35.1,407,107,36.6,35.7,139,42.4,39.2,247,16,6.5,22,1.29,15.3,Matches
38,Ramiro Macagno,ar ARG,GK,Newell's OB,26,1997,14,13,1184,13.2,23,1.75,59,36,62.7,3,4,6,3,23.1,1,1,0,0,0.0,Matches,38,Ramiro Macagno,ar ARG,GK,Newell's OB,26,1997,13.2,23,1,0,2,0,17.5,0.28,-5.5,-0.42,65,183,35.5,326,62,44.2,38.3,74,52.7,45.7,178,10,5.6,18,1.37,16.3,Matches
39,Nahuel Manganelli,ar ARG,GK,Deportivo Riestra,22,2001,2,2,180,2.0,2,1.00,7,5,71.4,0,2,0,0,0.0,0,0,0,0,,Matches,39,Nahuel Manganelli,ar ARG,GK,Deportivo Riestra,22,2001,2.0,2,0,0,1,0,2.6,0.37,+0.6,+0.29,13,46,28.3,31,4,71.0,54.7,26,92.3,71.3,47,2,4.3,7,3.50,19.5,Matches
40,Matías Mansilla,ar ARG,GK,Estudiantes–LP,27,1996,26,26,2340,26.0,32,1.23,99,68,71.7,8,11,7,5,19.2,4,4,0,0,0.0,Matches,40,Matías Mansilla,ar ARG,GK,Estudiantes–LP,27,1996,26.0,32,4,0,4,1,33.1,0.30,+2.1,+0.08,90,244,36.9,479,133,30.7,33.4,197,49.2,42.5,391,31,7.9,18,0.69,12.2,Matches
41,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,28,1995,26,26,2301,25.6,15,0.59,76,61,82.9,13,9,4,15,57.7,3,2,1,0,33.3,Matches,41,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,28,1995,25.6,15,2,1,3,1,17.9,0.21,+3.9,+0.15,94,288,32.6,568,136,37.9,34.6,201,36.3,34.8,340,15,4.4,21,0.82,14.6,Matches
