Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
32,Aljaž Ivačič,si SVN,GK,NE Revolution,31-302,1993,24,24,2160,24.0,35,1.46,101,66,69.3,6,7,11,8,33.3,4,4,0,0,0.0,Matches,32,Aljaž Ivačič,si SVN,GK,NE Revolution,31-302,1993,24.0,35,4,0,4,0,31.3,0.29,-3.7,-0.15,83,277,30.0,438,57,39.5,35.7,198,52.5,43.4,293,9,3.1,11,0.46,11.2,Matches
33,Jacob Jackson,us USA,GK,FC Dallas,25-185,2000,4,3,342,3.8,4,1.05,25,22,84.0,2,1,0,1,33.3,0,0,0,0,,Matches,33,Jacob Jackson,us USA,GK,FC Dallas,25-185,2000,3.8,4,0,0,1,1,5.7,0.24,+2.7,+0.72,26,89,29.2,83,11,63.9,46.2,39,92.3,64.8,106,3,2.8,3,0.79,11.2,Matches
34,Sean Johnson,us USA,GK,Toronto FC,36-149,1989,31,31,2790,31.0,41,1.32,152,110,75.7,6,11,14,7,22.6,5,4,1,0,20.0,Matches,34,Sean Johnson,us USA,GK,Toronto FC,36-149,1989,31.0,41,4,1,3,0,51.9,0.33,+10.9,+0.35,113,341,33.1,700,117,34.1,33.0,231,44.2,37.2,394,15,3.8,21,0.68,12.5,Matches
35,Kim Joonhong,kr KOR,GK,D.C. United,22-146,2003,8,8,720,8.0,19,2.37,42,23,59.5,1,3,4,1,12.5,2,2,0,0,0.0,Matches,35,Kim Joonhong,kr KOR,GK,D.C. United,22-146,2003,8.0,19,2,0,3,0,16.8,0.38,-2.2,-0.28,59,135,43.7,213,30,47.9,39.0,55,60.0,48.5,93,5,5.4,15,1.88,19.1,Matches
36,Kristijan Kahlina,hr CRO,GK,Charlotte,33-095,1992,32,32,2880,32.0,44,1.37,168,123,78.6,18,2,12,12,37.5,9,8,1,0,11.1,Matches,36,Kristijan Kahlina,hr CRO,GK,Charlotte,33-095,1992,32.0,44,8,1,2,0,52.2,0.27,+8.2,+0.26,94,250,37.6,848,168,21.1,27.9,174,40.8,37.4,459,21,4.6,21,0.66,12.9,Matches
37,Hugo Lloris,fr FRA,GK,LAFC,38-305,1986,32,32,2835,31.5,34,1.08,102,70,69.6,17,9,6,11,34.4,4,3,0,1,0.0,Matches,37,Hugo Lloris,fr FRA,GK,LAFC,38-305,1986,31.5,34,3,1,5,2,31.5,0.29,-0.5,-0.02,137,360,38.1,682,116,40.0,35.6,177,49.2,40.2,387,17,4.4,24,0.76,14.5,Matches
38,Evan Louro,us USA,GK,FC Cincinnati,29-281,1996,4,4,360,4.0,4,1.00,20,16,80.0,3,1,0,1,25.0,0,0,0,0,,Matches,38,Evan Louro,us USA,GK,FC Cincinnati,29-281,1996,4.0,4,0,0,0,0,5.5,0.28,+1.5,+0.38,20,58,34.5,83,5,38.6,34.0,48,54.2,42.9,64,1,1.6,8,2.00,15.6,Matches
39,Benjamin Lundt,de GER,GK,St. Louis,30-033,1995,9,9,810,9.0,14,1.56,46,31,71.7,1,2,6,2,22.2,2,1,1,0,50.0,Matches,39,Benjamin Lundt,de GER,GK,St. Louis,30-033,1995,9.0,14,1,0,2,0,14.1,0.29,+0.1,+0.01,50,114,43.9,210,43,32.9,34.6,81,55.6,43.4,126,6,4.8,6,0.67,13.2,Matches
40,J.T. Marcinkowski,us USA,GK,LA Galaxy,28-171,1997,3,3,270,3.0,3,1.00,7,4,57.1,1,1,1,1,33.3,0,0,0,0,,Matches,40,J.T. Marcinkowski,us USA,GK,LA Galaxy,28-171,1997,3.0,3,0,0,0,0,2.7,0.38,-0.3,-0.11,4,26,15.4,98,15,23.5,27.8,14,21.4,29.3,41,3,7.3,2,0.67,12.6,Matches
41,AJ Marcucci,us USA,GK,NY Red Bulls,26-088,1999,2,2,180,2.0,2,1.00,5,3,60.0,2,0,0,0,0.0,0,0,0,0,,Matches,41,AJ Marcucci,us USA,GK,NY Red Bulls,26-088,1999,2.0,2,0,0,0,0,1.4,0.28,-0.6,-0.31,5,24,20.8,59,10,32.2,32.7,10,50.0,44.7,17,1,5.9,4,2.00,27.2,Matches
42,Jimmy Maurer,us USA,GK,Houston Dynamo,37-013,1988,2,1,120,1.3,1,0.75,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,42,Jimmy Maurer,us USA,GK,Houston Dynamo,37-013,1988,1.3,1,0,0,0,0,0.8,0.17,-0.2,-0.12,6,20,30.0,36,4,38.9,33.3,6,100.0,61.8,16,1,6.3,1,0.75,14.5,Matches
43,John McCarthy,us USA,GK,NY Red Bulls,33-115,1992,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,43,John McCarthy,us USA,GK,NY Red Bulls,33-115,1992,1.0,3,0,0,0,0,2.4,0.41,-0.6,-0.56,3,14,21.4,26,5,42.3,37.8,5,60.0,52.2,9,0,0.0,3,3.00,19.5,Matches
44,John McCarthy,us USA,GK,LA Galaxy,33-115,1992,11,11,990,11.0,26,2.36,56,31,58.9,0,4,7,0,0.0,4,3,1,0,25.0,Matches,44,John McCarthy,us USA,GK,LA Galaxy,33-115,1992,11.0,26,3,2,3,2,20.7,0.32,-3.3,-0.30,27,123,22.0,245,46,39.2,34.7,54,50.0,42.7,135,8,5.9,9,0.82,12.0,Matches
45,Novak Mićović,rs SRB,GK,LA Galaxy,24-002,2001,20,20,1800,20.0,37,1.85,99,63,62.6,6,4,10,2,10.0,0,0,0,0,,Matches,45,Novak Mićović,rs SRB,GK,LA Galaxy,24-002,2001,20.0,37,0,0,2,1,34.7,0.36,-1.3,-0.06,37,197,18.8,502,72,32.1,31.1,111,32.4,33.0,247,25,10.1,5,0.25,9.3,Matches
46,David Ochoa,us USA,GK,LAFC,24-284,2001,1,1,90,1.0,1,1.00,1,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,46,David Ochoa,us USA,GK,LAFC,24-284,2001,1.0,1,0,0,0,0,0.9,0.94,-0.1,-0.06,0,1,0.0,18,7,5.6,19.8,5,0.0,15.8,13,0,0.0,0,0.00,5.0,Matches
47,Javier Otero,ve VEN,GK,Orlando City,22-343,2002,2,2,180,2.0,2,1.00,7,5,85.7,1,1,0,0,0.0,1,1,0,0,0.0,Matches,47,Javier Otero,ve VEN,GK,Orlando City,22-343,2002,2.0,2,1,0,0,0,2.6,0.25,+0.6,+0.30,5,9,55.6,32,10,25.0,26.0,11,9.1,20.1,39,4,10.3,1,0.50,9.2,Matches
48,Maarten Paes,id IDN,GK,FC Dallas,27-166,1998,22,22,1980,22.0,43,1.95,105,62,65.7,5,7,10,3,13.6,7,7,0,0,0.0,Matches,48,Maarten Paes,id IDN,GK,FC Dallas,27-166,1998,22.0,43,7,0,3,0,40.8,0.34,-2.2,-0.10,121,280,43.2,546,89,35.5,33.4,144,59.7,44.6,370,18,4.9,31,1.41,14.6,Matches
49,James Pantemis,ca CAN,GK,Portland Timbers,28-248,1997,19,19,1710,19.0,26,1.37,95,67,75.8,7,8,4,4,21.1,6,3,3,0,50.0,Matches,49,James Pantemis,ca CAN,GK,Portland Timbers,28-248,1997,19.0,26,3,3,3,1,25.9,0.25,+0.9,+0.05,94,217,43.3,618,74,28.2,31.9,131,32.8,34.6,288,12,4.2,24,1.26,13.8,Matches
50,John Pulskamp,us USA,GK,Sporting KC,24-191,2001,34,34,3060,34.0,70,2.06,187,118,66.3,7,7,20,4,11.8,9,7,1,1,12.5,Matches,50,John Pulskamp,us USA,GK,Sporting KC,24-191,2001,34.0,70,7,0,11,2,60.1,0.30,-7.9,-0.23,142,493,28.8,715,128,43.4,38.0,262,69.8,52.4,409,20,4.9,29,0.85,13.9,Matches
51,Andrew Rick,us USA,GK,Philadelphia Union,19-270,2006,14,13,1233,13.7,18,1.31,41,23,63.4,7,4,2,6,46.2,3,3,0,0,0.0,Matches,51,Andrew Rick,us USA,GK,Philadelphia Union,19-270,2006,13.7,18,3,1,3,0,16.9,0.37,-1.1,-0.08,76,220,34.5,245,32,57.6,40.4,106,74.5,51.8,147,3,2.0,10,0.73,14.4,Matches
52,Rocco Ríos Novo,ar ARG,GK,Inter Miami,23-145,2002,10,7,790,8.8,9,1.03,30,21,70.0,5,2,0,3,42.9,0,0,0,0,,Matches,52,Rocco Ríos Novo,ar ARG,GK,Inter Miami,23-145,2002,8.8,9,0,0,2,0,11.1,0.37,+2.1,+0.24,28,49,57.1,294,39,12.2,25.7,37,35.1,34.2,95,3,3.2,10,1.14,15.4,Matches
53,Tomas Romero,sv SLV,GK,NYCFC,24-312,2000,4,3,294,3.3,2,0.61,11,10,81.8,2,0,1,1,33.3,0,0,0,0,,Matches,53,Tomas Romero,sv SLV,GK,NYCFC,24-312,2000,3.3,2,0,0,0,1,3.3,0.35,+2.3,+0.71,6,20,30.0,80,12,11.3,23.8,23,47.8,39.4,49,3,6.1,1,0.31,8.8,Matches
54,Patrick Schulte,us USA,GK,Columbus Crew,24-228,2001,25,25,2250,25.0,36,1.44,98,63,65.3,11,9,5,3,12.0,2,2,0,0,0.0,Matches,54,Patrick Schulte,us USA,GK,Columbus Crew,24-228,2001,25.0,36,2,0,2,1,36.6,0.36,+1.6,+0.07,57,200,28.5,812,118,20.1,26.1,124,29.8,30.7,222,8,3.6,52,2.08,17.7,Matches
