Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J5,PSV Eindhoven,Shakhtar,3–2,"35,100",Philips Stadion,Urs Schnyder,2024-11-27,https://fbref.com/en/matches/d6fcf0d3/PSV-Eindhoven-Shakhtar-Donetsk-November-27-2024-Champions-League
J5,Bologna,Lille,1–2,"22,420",Stadio Renato Dall'Ara,Michael Oliver,2024-11-27,https://fbref.com/en/matches/defdad60/Bologna-Lille-November-27-2024-Champions-League
J5,Dinamo Zagreb,Dortmund,0–3,"20,019",Stadion Maksimir,Clément Turpin,2024-11-27,https://fbref.com/en/matches/813836d2/Dinamo-Zagreb-Dortmund-November-27-2024-Champions-League
J5,Monaco,Benfica,2–3,"13,581",Stade Louis II,Rade Obrenović,2024-11-27,https://fbref.com/en/matches/877f4c95/Monaco-Benfica-November-27-2024-Champions-League
J6,Dinamo Zagreb,Celtic,0–0,"18,158",Stadion Maksimir,Felix Zwayer,2024-12-10,https://fbref.com/en/matches/bf1ff0cd/Dinamo-Zagreb-Celtic-December-10-2024-Champions-League
J6,Girona,Liverpool,0–1,"9,241",Estadi Municipal de Montilivi,Benoît Bastien,2024-12-10,https://fbref.com/en/matches/ac8de702/Girona-Liverpool-December-10-2024-Champions-League
J6,Leverkusen,Inter,1–0,"30,210",BayArena,Slavko Vinčič,2024-12-10,https://fbref.com/en/matches/f53ce891/Bayer-Leverkusen-Internazionale-December-10-2024-Champions-League
J6,Brest,PSV Eindhoven,1–0,"15,778",Stade du Roudourou,Jose Maria Sánchez,2024-12-10,https://fbref.com/en/matches/bcee1130/Brest-PSV-Eindhoven-December-10-2024-Champions-League
J6,Club Brugge,Sporting CP,2–1,"22,254",Jan Breydelstadion,Anthony Taylor,2024-12-10,https://fbref.com/en/matches/2e40ef5f/Club-Brugge-Sporting-CP-December-10-2024-Champions-League
J6,RB Salzburg,Paris S-G,0–3,"25,065",Red Bull Arena,Michael Oliver,2024-12-10,https://fbref.com/en/matches/4ae86197/Red-Bull-Salzburg-Paris-Saint-Germain-December-10-2024-Champions-League
J6,RB Leipzig,Aston Villa,2–3,"40,406",Red Bull Arena,Maurizio Mariani,2024-12-10,https://fbref.com/en/matches/64174109/RB-Leipzig-Aston-Villa-December-10-2024-Champions-League
J6,Atalanta,Real Madrid,2–3,"22,967",Gewiss Stadium,Szymon Marciniak,2024-12-10,https://fbref.com/en/matches/f8e116ea/Atalanta-Real-Madrid-December-10-2024-Champions-League
J6,Shakhtar,Bayern Munich,1–5,"57,079",Veltins-Arena,Halil Umut Meler,2024-12-10,https://fbref.com/en/matches/d54ab572/Shakhtar-Donetsk-Bayern-Munich-December-10-2024-Champions-League
J6,Lille,Sturm Graz,3–2,"45,796",Decathlon Arena - Stade Pierre-Mauroy,Georgi Kabakov,2024-12-11,https://fbref.com/en/matches/e80b91b4/Lille-Sturm-Graz-December-11-2024-Champions-League
J6,Atlético Madrid,Slovan Bratislava,3–1,"59,134",Riyadh Air Metropolitan Stadium,Manfredas Lukjančukas,2024-12-11,https://fbref.com/en/matches/bfe9f8f6/Atletico-Madrid-Slovan-Bratislava-December-11-2024-Champions-League
J6,Arsenal,Monaco,3–0,"60,157",Emirates Stadium,Davide Massa,2024-12-11,https://fbref.com/en/matches/6aa52408/Arsenal-Monaco-December-11-2024-Champions-League
J6,Benfica,Bologna,0–0,"60,650",Estádio do Sport Lisboa e Benfica,Radu Petrescu,2024-12-11,https://fbref.com/en/matches/539a620f/Benfica-Bologna-December-11-2024-Champions-League
J6,Milan,Red Star,2–1,"53,717",Stadio Giuseppe Meazza,Jesús Gil,2024-12-11,https://fbref.com/en/matches/5ff4551f/Milan-Red-Star-December-11-2024-Champions-League
J6,Juventus,Manchester City,2–0,"40,890",Allianz Stadium,Clément Turpin,2024-12-11,https://fbref.com/en/matches/10b5de7b/Juventus-Manchester-City-December-11-2024-Champions-League
J6,Stuttgart,Young Boys,5–1,"60,000",MHPArena,Giorgi Kruashvili,2024-12-11,https://fbref.com/en/matches/379275b8/Stuttgart-Young-Boys-December-11-2024-Champions-League
J6,Dortmund,Barcelona,2–3,"81,365",Signal Iduna Park,François Letexier,2024-12-11,https://fbref.com/en/matches/cf33e56f/Dortmund-Barcelona-December-11-2024-Champions-League
J6,Feyenoord,Sparta Prague,4–2,"45,000",Stadion Feijenoord,Tobias Stieler,2024-12-11,https://fbref.com/en/matches/4e152dc8/Feyenoord-Sparta-Prague-December-11-2024-Champions-League
J7,Atalanta,Sturm Graz,5–0,"19,469",Gewiss Stadium,Donatas Rumšas,2025-01-21,https://fbref.com/en/matches/16649d85/Atalanta-Sturm-Graz-January-21-2025-Champions-League
J7,Monaco,Aston Villa,1–0,"13,508",Stade Louis II,Slavko Vinčič,2025-01-21,https://fbref.com/en/matches/283b037e/Monaco-Aston-Villa-January-21-2025-Champions-League
J7,Liverpool,Lille,2–1,"59,782",Anfield,Felix Zwayer,2025-01-21,https://fbref.com/en/matches/99c3796e/Liverpool-Lille-January-21-2025-Champions-League
J7,Benfica,Barcelona,4–5,"63,225",Estádio do Sport Lisboa e Benfica,Danny Makkelie,2025-01-21,https://fbref.com/en/matches/b72a4588/Benfica-Barcelona-January-21-2025-Champions-League
J7,Bologna,Dortmund,2–1,"26,801",Stadio Renato Dall'Ara,Serdar Gözübüyük,2025-01-21,https://fbref.com/en/matches/d18fc520/Bologna-Dortmund-January-21-2025-Champions-League
J7,Club Brugge,Juventus,0–0,"26,700",Jan Breydelstadion,Benoît Bastien,2025-01-21,https://fbref.com/en/matches/56137f1a/Club-Brugge-Juventus-January-21-2025-Champions-League
J7,Red Star,PSV Eindhoven,2–3,"36,648",Stadion Rajko Mitić,István Kovács,2025-01-21,https://fbref.com/en/matches/753c8418/Red-Star-PSV-Eindhoven-January-21-2025-Champions-League
J7,Slovan Bratislava,Stuttgart,1–3,"22,500",Štadión Tehelné pole,Chris Kavanagh,2025-01-21,https://fbref.com/en/matches/c0617888/Slovan-Bratislava-Stuttgart-January-21-2025-Champions-League
J7,Atlético Madrid,Leverkusen,2–1,"66,820",Riyadh Air Metropolitan Stadium,Davide Massa,2025-01-21,https://fbref.com/en/matches/1db7242e/Atletico-Madrid-Bayer-Leverkusen-January-21-2025-Champions-League
J7,RB Leipzig,Sporting CP,2–1,"33,478",Red Bull Arena,Manfredas Lukjančukas,2025-01-22,https://fbref.com/en/matches/ccdff5cf/RB-Leipzig-Sporting-CP-January-22-2025-Champions-League
J7,Shakhtar,Brest,2–0,"15,282",Veltins-Arena,Sandro Schärer,2025-01-22,https://fbref.com/en/matches/84478d9e/Shakhtar-Donetsk-Brest-January-22-2025-Champions-League
J7,Arsenal,Dinamo Zagreb,3–0,"60,024",Emirates Stadium,Daniel Siebert,2025-01-22,https://fbref.com/en/matches/99da618c/Arsenal-Dinamo-Zagreb-January-22-2025-Champions-League
J7,Celtic,Young Boys,1–0,"56,544",Celtic Park,Rohit Saggi,2025-01-22,https://fbref.com/en/matches/893e3e53/Celtic-Young-Boys-January-22-2025-Champions-League
J7,Real Madrid,RB Salzburg,5–1,"73,692",Estadio Santiago Bernabéu,Glenn Nyberg,2025-01-22,https://fbref.com/en/matches/392ed912/Real-Madrid-Red-Bull-Salzburg-January-22-2025-Champions-League
J7,Milan,Girona,1–0,"66,030",Stadio Giuseppe Meazza,Tobias Stieler,2025-01-22,https://fbref.com/en/matches/f10cc3c6/Milan-Girona-January-22-2025-Champions-League
J7,Paris S-G,Manchester City,4–2,"47,818",Parc des Princes,Szymon Marciniak,2025-01-22,https://fbref.com/en/matches/f60939a2/Paris-Saint-Germain-Manchester-City-January-22-2025-Champions-League
J7,Sparta Prague,Inter,0–1,"18,010",epet Arena,Alejandro Hernández,2025-01-22,https://fbref.com/en/matches/8a6b0026/Sparta-Prague-Internazionale-January-22-2025-Champions-League
