Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,1.83,4.83,3.0,0.0,0.33,0.33,0.0,0.0,1.13,6.0,14.5,19.67,5.5,9.17,14.67,0.83,0.5,0.0,-1.83,0.17,62.11,0.0,83.0,0.0
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,0.67,3.33,2.67,0.67,0.0,0.0,0.0,0.0,0.6,3.67,13.33,23.0,6.33,6.67,9.67,0.33,0.0,0.0,-0.67,0.33,80.18,0.0,33.0,0.0
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,2.32,5.89,3.47,0.11,0.32,0.21,0.11,0.0,1.89,2.84,8.53,23.58,4.95,7.05,15.58,0.84,0.11,0.11,-2.32,0.11,58.91,0.0,84.0,0.0
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,13.0,32.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,0.75,2.75,2.0,0.5,0.19,0.12,0.06,0.0,0.93,4.44,13.56,21.56,2.69,6.81,14.12,0.81,0.38,0.06,-0.75,0.06,72.73,0.0,81.0,0.0
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,1.1,3.25,2.2,0.4,0.15,0.15,0.0,0.0,1.04,4.6,11.05,22.7,3.4,5.2,11.6,0.4,1.05,0.0,-1.1,0.05,67.69,0.0,40.0,0.0
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,1.17,3.5,2.33,0.42,0.17,0.17,0.0,0.0,1.27,3.33,7.33,19.5,3.33,6.5,11.42,0.33,0.17,0.0,-1.17,0.08,66.57,0.0,33.0,0.0
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,0.53,3.42,3.0,0.74,0.16,0.16,0.0,0.0,0.89,11.11,27.74,25.26,0.74,8.47,22.05,2.05,1.63,0.0,-0.53,0.05,87.72,0.0,205.0,0.0
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,1.88,5.62,3.75,0.0,0.0,0.0,0.0,0.0,1.31,3.12,8.75,14.38,3.12,12.5,11.88,0.62,1.88,0.0,-1.88,0.62,66.73,0.0,62.0,0.0
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,1.33,5.33,3.83,0.25,0.42,0.17,0.25,0.0,1.45,5.0,11.58,31.67,4.08,7.42,15.58,0.58,1.25,0.25,-1.33,0.08,71.86,0.0,58.0,0.0
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,0.67,3.11,2.22,0.67,0.22,0.0,0.22,0.0,0.73,4.89,10.22,24.89,5.78,7.78,16.22,1.11,0.89,0.22,-0.67,0.44,71.38,0.0,111.0,0.0
