Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,86,59,83,57,19,22,39,46,37,92,90,8,21,95,86,31,86,36,86,56,92,50,31,50
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,27,21,7,57,90,93,39,46,45,20,57,26,71,6,40,52,45,36,27,75,7,50,52,50
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,94,58,88,78,19,22,39,46,22,16,58,57,91,17,77,13,6,36,94,67,95,50,13,50
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39.0,1986,18,18,1620,57,28,33,57,66,77,39,46,28,33,36,46,50,47,23,35,36,36,57,24,59,50,35,50
Thiago Cardozo,URU,Goalkeeper,Unión,28.0,1996,17,17,1526,66,24,27,47,70,65,39,97,32,45,56,22,64,58,52,48,24,83,66,49,53,50,48,50
Thomas Hasal,CAN,Goalkeeper,LAFC,26.0,1999,1,1,90,1,99,88,11,19,22,39,46,98,5,13,75,98,35,21,97,6,36,1,94,2,50,97,50
Tiago Volpi,BRA,Goalkeeper,Grêmio,34.0,1990,16,16,1440,38,61,62,34,82,88,39,46,76,94,83,59,13,53,82,65,36,36,38,24,49,50,65,50
Tomas Romero,SLV,Goalkeeper,NYCFC,24.0,2000,3,3,270,86,33,67,57,19,22,39,46,37,9,6,69,53,41,54,52,22,36,86,75,96,50,52,50
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26.0,1999,11,11,990,32,51,37,33,84,57,90,100,70,87,83,47,59,75,28,59,80,96,32,39,23,50,59,50
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30.0,1995,24,24,2160,72,23,32,74,47,45,39,93,18,25,29,13,41,76,40,43,18,74,72,36,71,50,43,50
Walter,BRA,Goalkeeper,Mirassol,37.0,1987,9,9,810,91,70,92,78,51,22,93,46,59,43,47,81,89,15,97,72,22,91,91,46,94,50,72,50
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23.0,2001,3,3,199,5,60,8,11,94,94,39,46,96,72,92,69,1,88,55,27,6,36,5,80,1,50,27,50
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27.0,1998,6,6,540,19,68,55,11,19,22,39,46,69,56,50,8,68,72,79,79,16,36,19,75,20,50,79,50
Wéverton,BRA,Goalkeeper,br Palmeiras,37.0,1987,20,20,1800,76,16,20,80,58,59,82,46,16,41,73,44,32,40,44,69,62,79,76,43,64,50,69,50
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29.0,1996,24,24,2160,58,24,19,80,66,65,79,46,34,35,31,83,46,29,36,43,83,74,58,3,38,50,43,50
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30.0,1995,14,14,1260,30,88,91,47,19,22,39,46,87,75,86,72,77,61,81,70,77,36,30,31,61,50,70,50
Éverson,BRA,Goalkeeper,Atlético Mineiro,35.0,1990,14,14,1260,66,41,55,85,19,22,39,46,44,77,69,93,58,2,32,31,92,36,66,31,74,50,31,50
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39.0,1986,17,17,1362,30,72,71,25,19,22,39,46,62,58,22,95,90,20,26,25,94,36,30,31,48,50,25,50
