Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Tiago Volpi,BRA,Goalkeeper,Grêmio,34.0,1990,16,16,1440,22,73,51,3,4,4,0,0,27.3,115,257,380,41,111,270,13,9,0,-22.0,1
Tomas Romero,SLV,Goalkeeper,NYCFC,24.0,2000,3,3,270,2,11,10,1,0,0,0,0,3.3,5,14,76,12,19,42,2,1,0,-2.0,1
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26.0,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16,2,-17.0,1
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30.0,1995,24,24,2160,23,81,61,10,2,1,0,1,21.599999999999998,70,219,406,85,191,296,15,7,1,-23.0,2
Walter,BRA,Goalkeeper,Mirassol,37.0,1987,9,9,810,5,44,38,4,1,0,1,0,12.0,32,99,246,51,45,182,8,3,1,-5.0,1
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23.0,2001,3,3,199,6,10,4,0,1,1,0,0,5.4,11,41,56,1,20,31,1,0,0,-6.0,1
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27.0,1998,6,6,540,11,29,18,0,0,0,0,0,9.3,25,67,94,27,46,98,6,1,0,-11.0,2
Wéverton,BRA,Goalkeeper,br Palmeiras,37.0,1987,20,20,1800,16,63,46,9,3,2,1,0,17.4,70,279,441,67,126,259,17,19,1,-16.0,2
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29.0,1996,24,24,2160,26,82,55,11,4,3,1,0,25.4,76,222,664,91,137,292,15,37,1,-26.0,1
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30.0,1995,14,14,1260,22,81,59,4,0,0,0,0,26.6,71,231,357,68,100,234,12,18,0,-22.0,1
Éverson,BRA,Goalkeeper,Atlético Mineiro,35.0,1990,14,14,1260,14,55,42,7,0,0,0,0,16.3,74,187,455,58,44,167,7,29,0,-14.0,1
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39.0,1986,17,17,1362,24,75,52,2,0,0,0,0,21.0,64,127,535,86,80,173,6,33,0,-24.0,1
