Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Nick Pope,J8,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.21,33,ENG
Dean Henderson,J8,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.4,28,ENG
Đorđe Petrović,J8,GK,Goalkeeper,Bournemouth,English Premier League,90,6.74,26,SRB
Gianluigi Donnarumma,J8,GK,Goalkeeper,Manchester City,English Premier League,90,6.58,26,ITA
Jordan Pickford,J8,GK,Goalkeeper,Everton,English Premier League,90,6.34,31,ENG
Bernd Leno,J8,GK,Goalkeeper,Fulham,English Premier League,90,7.03,33,GER
David Raya,J8,GK,Goalkeeper,Arsenal,English Premier League,90,6.63,30,ESP
Guglielmo Vicario,J8,GK,Goalkeeper,Tottenham,English Premier League,90,5.7,29,ITA
Emiliano Martínez,J8,GK,Goalkeeper,Aston Villa,English Premier League,90,6.32,33,ARG
Giorgi Mamardashvili,J8,GK,Goalkeeper,Liverpool,English Premier League,90,6.03,25,GEO
Senne Lammens,J8,GK,Goalkeeper,Manchester Utd,English Premier League,90,7.22,23,BEL
Alphonse Areola,J8,GK,Goalkeeper,West Ham,English Premier League,90,6.43,32,FRA
Caoimhín Kelleher,J8,GK,Goalkeeper,Brentford,English Premier League,90,7.09,26,IRL
Lucas Perri,J9,GK,Goalkeeper,Leeds United,English Premier League,90,6.67,27,BRA
Alphonse Areola,J9,GK,Goalkeeper,West Ham,English Premier League,90,6.14,32,FRA
Nick Pope,J9,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.94,33,ENG
Bernd Leno,J9,GK,Goalkeeper,Fulham,English Premier League,90,6.39,33,GER
Robert Sánchez,J9,GK,Goalkeeper,Chelsea,English Premier League,90,6.13,27,ESP
Robin Roefs,J9,GK,Goalkeeper,Sunderland,English Premier League,90,6.93,22,NED
Senne Lammens,J9,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.36,23,BEL
Bart Verbruggen,J9,GK,Goalkeeper,Brighton,English Premier League,90,5.94,23,NED
Caoimhín Kelleher,J9,GK,Goalkeeper,Brentford,English Premier League,90,6.67,26,IRL
Giorgi Mamardashvili,J9,GK,Goalkeeper,Liverpool,English Premier League,90,6.06,25,GEO
David Raya,J9,GK,Goalkeeper,Arsenal,English Premier League,90,7.21,30,ESP
Dean Henderson,J9,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.49,28,ENG
Emiliano Martínez,J9,GK,Goalkeeper,Aston Villa,English Premier League,90,6.99,33,ARG
Gianluigi Donnarumma,J9,GK,Goalkeeper,Manchester City,English Premier League,90,6.12,26,ITA
Sam Johnstone,J9,GK,Goalkeeper,Wolves,English Premier League,90,6.1,32,ENG
Martin Dúbravka,J9,GK,Goalkeeper,Burnley,English Premier League,90,6.83,36,SVK
Đorđe Petrović,J9,GK,Goalkeeper,Bournemouth,English Premier League,90,7.31,26,SRB
Matz Sels,J9,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.23,33,BEL
Jordan Pickford,J9,GK,Goalkeeper,Everton,English Premier League,90,6.23,31,ENG
Guglielmo Vicario,J9,GK,Goalkeeper,Tottenham,English Premier League,90,7.17,29,ITA
Emil Audero,J2,GK,Goalkeeper,Cremonese,Italian Serie A,90,6.25,28,IDN
Arijanet Muric,J2,GK,Goalkeeper,Sassuolo,Italian Serie A,90,6.27,26,KVX
Wladimiro Falcone,J2,GK,Goalkeeper,Lecce,Italian Serie A,90,6.61,30,ITA
Mike Maignan,J2,GK,Goalkeeper,Milan,Italian Serie A,90,6.91,30,FRA
Zion Suzuki,J2,GK,Goalkeeper,Parma,Italian Serie A,90,6.35,23,JPN
Marco Carnesecchi,J2,GK,Goalkeeper,Atalanta,Italian Serie A,90,6.44,25,ITA
Paulo Gazzaniga,J1,GK,Goalkeeper,Girona,Spanish La Liga,42,5.55,33,ARG
Krapyvtsov Vladyslav,J1,GK,Goalkeeper,Girona,Spanish La Liga,46,6.65,20,UKR
Augusto Batalla,J1,GK,Goalkeeper,Rayo Vallecano,Spanish La Liga,90,6.35,29,ARG
Luiz Lúcio Reis Júnior,J1,GK,Goalkeeper,Villarreal,Spanish La Liga,90,7.04,24,BRA
Aarón Escandell,J1,GK,Goalkeeper,Oviedo,Spanish La Liga,90,6.7,29,ESP
Leo Román,J1,GK,Goalkeeper,Mallorca,Spanish La Liga,90,6.36,25,ESP
Joan García,J1,GK,Goalkeeper,Barcelona,Spanish La Liga,90,6.8,24,ESP
Antonio Sivera,J1,GK,Goalkeeper,Alavés,Spanish La Liga,90,6.53,29,ESP
Pablo Cuñat,J1,GK,Goalkeeper,Levante,Spanish La Liga,90,6.55,23,ESP
Julen Agirrezabala,J1,GK,Goalkeeper,Valencia,Spanish La Liga,90,6.22,24,ESP
Álex Remiro,J1,GK,Goalkeeper,Real Sociedad,Spanish La Liga,90,6.3,30,ESP
Ionuț Radu,J1,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,5.81,28,ROU
David Soria,J1,GK,Goalkeeper,Getafe,Spanish La Liga,90,7.17,32,ESP
Unai Simón,J1,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.32,28,ESP
Ørjan Nyland,J1,GK,Goalkeeper,Sevilla,Spanish La Liga,90,5.8,34,NOR
Marko Dmitrović,J1,GK,Goalkeeper,Espanyol,Spanish La Liga,90,6.67,33,SRB
Jan Oblak,J1,GK,Goalkeeper,Atlético Madrid,Spanish La Liga,90,6.05,32,SVN
Matías Dituro,J1,GK,Goalkeeper,Elche,Spanish La Liga,90,7.09,38,ARG
Pau López,J1,GK,Goalkeeper,Betis,Spanish La Liga,90,6.05,30,ESP
Thibaut Courtois,J1,GK,Goalkeeper,Real Madrid,Spanish La Liga,90,6.68,33,BEL
Sergio Herrera,J1,GK,Goalkeeper,Osasuna,Spanish La Liga,90,6.72,32,ESP
Pau López,J2,GK,Goalkeeper,Betis,Spanish La Liga,90,7.23,30,ESP
Antonio Sivera,J2,GK,Goalkeeper,Alavés,Spanish La Liga,90,7.0,29,ESP
Leo Román,J2,GK,Goalkeeper,Mallorca,Spanish La Liga,90,6.02,25,ESP
Ionuț Radu,J2,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,6.44,28,ROU
Jan Oblak,J2,GK,Goalkeeper,Atlético Madrid,Spanish La Liga,90,6.16,32,SVN
Matías Dituro,J2,GK,Goalkeeper,Elche,Spanish La Liga,90,6.8,38,ARG
Pablo Cuñat,J2,GK,Goalkeeper,Levante,Spanish La Liga,90,6.26,23,ESP
Joan García,J2,GK,Goalkeeper,Barcelona,Spanish La Liga,90,6.54,24,ESP
Sergio Herrera,J2,GK,Goalkeeper,Osasuna,Spanish La Liga,90,6.67,32,ESP
Julen Agirrezabala,J2,GK,Goalkeeper,Valencia,Spanish La Liga,90,6.43,24,ESP
Álex Remiro,J2,GK,Goalkeeper,Real Sociedad,Spanish La Liga,90,6.13,30,ESP
Marko Dmitrović,J2,GK,Goalkeeper,Espanyol,Spanish La Liga,90,6.55,33,SRB
Luiz Lúcio Reis Júnior,J2,GK,Goalkeeper,Villarreal,Spanish La Liga,90,6.66,24,BRA
Krapyvtsov Vladyslav,J2,GK,Goalkeeper,Girona,Spanish La Liga,90,5.35,20,UKR
Aarón Escandell,J2,GK,Goalkeeper,Oviedo,Spanish La Liga,90,6.43,29,ESP
Thibaut Courtois,J2,GK,Goalkeeper,Real Madrid,Spanish La Liga,90,6.98,33,BEL
Unai Simón,J2,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.8,28,ESP
Augusto Batalla,J2,GK,Goalkeeper,Rayo Vallecano,Spanish La Liga,90,6.93,29,ARG
Ørjan Nyland,J2,GK,Goalkeeper,Sevilla,Spanish La Liga,90,6.0,34,NOR
David Soria,J2,GK,Goalkeeper,Getafe,Spanish La Liga,90,6.29,32,ESP
Ionuț Radu,J6,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,6.06,28,ROU
Álvaro Vallés,J6,GK,Goalkeeper,Betis,Spanish La Liga,90,6.31,28,ESP
Matías Dituro,J3,GK,Goalkeeper,Elche,Spanish La Liga,90,6.96,38,ARG
Mathew Ryan,J3,GK,Goalkeeper,Levante,Spanish La Liga,90,6.21,33,AUS
Julen Agirrezabala,J3,GK,Goalkeeper,Valencia,Spanish La Liga,90,6.89,24,ESP
David Soria,J3,GK,Goalkeeper,Getafe,Spanish La Liga,90,5.8,32,ESP
