Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Gabriel Magalhães,J4,CB,Defender,Arsenal,English Premier League,90.0,7.18,27,BRA
Cristhian Mosquera,J4,CB,Defender,Arsenal,English Premier League,90.0,7.07,21,ESP
Jurriën Timber,J4,RB,Defender,Arsenal,English Premier League,90.0,6.84,24,NED
Morato,J4,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.47,24,BRA
Murillo,J4,CB,Defender,Nott'ham Forest,English Premier League,36.0,6.7,23,BRA
Nicolò Savona,J4,RB,Defender,Nott'ham Forest,English Premier League,54.0,6.42,22,ITA
Nikola Milenković,J4,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.22,27,SRB
Neco Williams,J4,LB,Defender,Nott'ham Forest,English Premier League,90.0,6.97,24,WAL
Marc Guéhi,J4,CB,Defender,Crystal Palace,English Premier League,90.0,6.89,25,ENG
Maxence Lacroix,J4,CB,Defender,Crystal Palace,English Premier League,90.0,7.04,25,FRA
Chris Richards,J4,CB,Defender,Crystal Palace,English Premier League,90.0,6.69,25,USA
Reinildo Mandava,J4,LB,Defender,Sunderland,English Premier League,90.0,6.98,31,MOZ
Omar Alderete,J4,CB,Defender,Sunderland,English Premier League,90.0,6.97,28,PAR
Nordi Mukiele,J4,CB,Defender,Sunderland,English Premier League,90.0,6.53,27,FRA
Trai Hume,J4,RB,Defender,Sunderland,English Premier League,90.0,7.09,23,NIR
James Garner,J4,LB,Defender,Everton,English Premier League,90.0,7.2,24,ENG
Michael Keane,J4,CB,Defender,Everton,English Premier League,90.0,6.15,32,ENG
James Tarkowski,J4,CB,Defender,Everton,English Premier League,90.0,6.81,32,ENG
Jake O'Brien,J4,RB,Defender,Everton,English Premier League,90.0,6.94,24,IRL
Lucas Digne,J4,LB,Defender,Aston Villa,English Premier League,90.0,6.72,32,FRA
Tyrone Mings,J4,CB,Defender,Aston Villa,English Premier League,90.0,6.94,32,ENG
Ezri Konsa,J4,CB,Defender,Aston Villa,English Premier League,90.0,6.43,27,ENG
Matty Cash,J4,RB,Defender,Aston Villa,English Premier League,90.0,6.39,28,POL
Ryan Sessegnon,J4,LB,Defender,Fulham,English Premier League,90.0,7.11,25,ENG
Calvin Bassey,J4,CB,Defender,Fulham,English Premier League,90.0,7.28,25,NGA
Joachim Andersen,J4,CB,Defender,Fulham,English Premier League,90.0,7.31,29,DEN
Kenny Tete,J4,RB,Defender,Fulham,English Premier League,90.0,6.59,29,NED
Gabriel Gudmundsson,J4,LB,Defender,Leeds United,English Premier League,90.0,6.68,26,SWE
Pascal Struijk,J4,CB,Defender,Leeds United,English Premier League,90.0,6.42,26,NED
Joe Rodon,J4,CB,Defender,Leeds United,English Premier League,90.0,6.64,27,WAL
Jayden Bogle,J4,RB,Defender,Leeds United,English Premier League,90.0,6.85,25,ENG
Valentino Livramento,J4,LB,Defender,Newcastle Utd,English Premier League,90.0,7.05,22,ENG
Dan Burn,J4,CB,Defender,Newcastle Utd,English Premier League,90.0,6.45,33,ENG
Fabian Schär,J4,CB,Defender,Newcastle Utd,English Premier League,90.0,6.88,33,SUI
Kieran Trippier,J4,RB,Defender,Newcastle Utd,English Premier League,90.0,7.14,34,ENG
Toti Gomes,J4,CB,Defender,Wolves,English Premier League,90.0,6.65,26,POR
Yerson Mosquera,J4,CB,Defender,Wolves,English Premier League,65.0,6.08,24,COL
Emmanuel Agbadou,J4,CB,Defender,Wolves,English Premier League,90.0,6.94,28,CIV
Adrien Truffert,J4,LB,Defender,Bournemouth,English Premier League,90.0,6.47,23,FRA
Marcos Senesi,J4,CB,Defender,Bournemouth,English Premier League,90.0,7.15,28,ARG
Veljko Milosavljević,J4,CB,Defender,Bournemouth,English Premier League,90.0,6.69,18,SRB
James Hill,J4,RB,Defender,Bournemouth,English Premier League,86.0,6.28,23,ENG
Álex Jiménez,J4,RB,Defender,Bournemouth,English Premier League,4.0,6.87,20,ESP
Maxim De Cuyper,J4,LB,Defender,Brighton,English Premier League,23.0,6.36,24,BEL
Ferdi Kadioglu,J4,LB,Defender,Brighton,English Premier League,67.0,7.04,25,TUR
Lewis Dunk,J4,CB,Defender,Brighton,English Premier League,90.0,6.29,33,ENG
Jan Paul van Hecke,J4,CB,Defender,Brighton,English Premier League,90.0,6.72,25,NED
Joël Veltman,J4,RB,Defender,Brighton,English Premier League,90.0,7.31,33,NED
El Hadji Malick Diouf,J4,LB,Defender,West Ham,English Premier League,90.0,6.8,20,SEN
Max Kilman,J4,CB,Defender,West Ham,English Premier League,90.0,6.42,28,ENG
Konstantinos Mavropanos,J4,CB,Defender,West Ham,English Premier League,90.0,6.67,27,GRE
Kyle Walker-Peters,J4,RB,Defender,West Ham,English Premier League,90.0,6.88,28,ENG
Djed Spence,J4,LB,Defender,Tottenham,English Premier League,70.0,6.55,25,ENG
Destiny Udogie,J4,LB,Defender,Tottenham,English Premier League,20.0,6.59,22,ITA
Micky van de Ven,J4,CB,Defender,Tottenham,English Premier League,79.0,6.65,24,NED
Kevin Danso,J4,CB,Defender,Tottenham,English Premier League,11.0,6.01,26,AUT
Cristian Romero,J4,CB,Defender,Tottenham,English Premier League,90.0,6.96,27,ARG
Pedro Porro,J4,RB,Defender,Tottenham,English Premier League,90.0,7.02,26,ESP
Rico Henry,J4,LB,Defender,Brentford,English Premier League,19.0,5.81,28,ENG
Keane Lewis-Potter,J4,LB,Defender,Brentford,English Premier League,89.0,5.66,24,ENG
Ethan Pinnock,J4,CB,Defender,Brentford,English Premier League,82.0,6.18,32,JAM
Kristoffer Ajer,J4,CB,Defender,Brentford,English Premier League,8.0,5.55,27,NOR
Nathan Collins,J4,CB,Defender,Brentford,English Premier League,90.0,6.41,24,IRL
Sepp van den Berg,J4,CB,Defender,Brentford,English Premier League,90.0,5.88,23,NED
Michael Kayode,J4,RB,Defender,Brentford,English Premier League,82.0,6.61,21,ITA
Aaron Hickey,J4,RB,Defender,Brentford,English Premier League,8.0,5.35,23,SCO
Jorrel Hato,J4,LB,Defender,Chelsea,English Premier League,45.0,6.02,19,NED
Marc Cucurella,J4,LB,Defender,Chelsea,English Premier League,45.0,6.85,27,ESP
