Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Filip Manojlović,SRB,Borac Banja Luka,UEFA Europa Conference League,GK,Goalkeeper,28,540,29.0,6.0,23.0,9.1,3.1,2,27.0,67.0,132.0,34.0,4005.9,44.0,2113.2,90.0,5.0,5.0,102.3,1
Filip Stankovic,SRB,Venezia,Italian Serie A,GK,Goalkeeper,22,1187,75.0,20.0,55.0,22.8,2.8,0,40.0,139.0,370.0,44.0,11737.6,58.0,2051.0,219.0,10.0,12.0,178.9,1
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,1350,65.0,13.0,53.0,19.5,6.5,7,95.0,271.0,480.0,40.0,16510.7,122.0,6482.3,282.0,8.0,23.0,379.9,1
Florian Müller,GER,Freiburg,German Bundesliga,GK,Goalkeeper,27,663,29.0,15.0,14.0,11.5,-3.5,2,47.0,147.0,227.0,23.0,8682.9,50.0,2817.8,91.0,4.0,7.0,115.4,1
Fran Vieites,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,26,1080,26.0,12.0,14.0,8.5,-3.5,3,42.0,165.0,295.0,38.0,10836.6,76.0,3763.8,168.0,11.0,9.0,137.9,1
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,26,90,4.0,1.0,3.0,1.5,0.5,0,15.0,29.0,19.0,1.0,896.8,16.0,809.6,18.0,1.0,0.0,0.0,1
Franco Israel,URU,Sporting CP,UEFA Champions League,GK,Goalkeeper,24,630,33.0,10.0,24.0,10.7,0.7,2,17.0,53.0,184.0,27.0,4649.2,55.0,2010.4,73.0,3.0,3.0,43.7,1
Frank Feller,GER,Heidenheim,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,21,301,14.0,4.0,10.0,5.1,1.1,2,22.0,71.0,158.0,17.0,5328.5,23.0,1243.6,54.0,1.0,7.0,110.9,1
Fraser Forster,ENG,Tottenham,"English Premier League, UEFA Europa League",GK,Goalkeeper,36,900,60.0,20.0,40.0,22.0,2.0,2,16.0,50.0,240.0,47.0,6187.4,80.0,1454.8,133.0,8.0,9.0,145.5,1
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,32,2070,90.0,31.0,56.0,30.8,-0.2,8,122.0,338.0,613.0,115.0,21056.6,132.0,7451.2,403.0,29.0,28.0,524.4,1
Fyodor Lapoukhov,BLR,Dinamo Minsk,UEFA Europa Conference League,GK,Goalkeeper,21,450,22.0,9.0,13.0,8.1,-0.9,1,31.0,75.0,176.0,23.0,5667.3,32.0,1650.0,53.0,3.0,11.0,205.2,1
Gabriel Kobylak,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,22,360,23.0,5.0,18.0,5.8,0.8,2,8.0,23.0,69.0,13.0,1971.5,24.0,726.3,47.0,2.0,1.0,16.3,1
Gauthier Gallon,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,45,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,15.0,2.0,357.0,4.0,105.2,2.0,0.0,1.0,28.0,1
Gautier Larsonneur,FRA,Saint-Étienne,French Ligue 1,GK,Goalkeeper,28,2610,187.0,68.0,119.0,64.4,-3.6,3,113.0,448.0,879.0,128.0,31024.6,185.0,7671.0,447.0,19.0,24.0,454.4,1
