Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,,1995,34,34,3060,55,165,110,9,5,5,0,0,52.0,203,551,859,115,287,531,33,29,0,-3.0
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,,2000,34,34,3060,63,185,126,6,6,6,0,0,58.1,264,710,1050,83,250,508,12,23,0,-4.899999999999999
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,8,30,22,2,0,0,0,0,6.2,25,79,106,19,55,89,2,4,0,-1.7999999999999998
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,23,81,57,5,5,3,2,0,23.7,105,288,350,58,139,289,12,13,2,0.6999999999999993
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,7,12,5,1,0,0,0,0,5.1,1,9,131,22,30,25,3,10,0,-1.9000000000000004
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,15,65,50,8,3,2,0,1,18.8,81,222,332,67,123,279,21,8,1,3.8000000000000007
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,7,33,26,3,2,2,0,0,8.7,38,116,168,25,59,148,9,9,0,1.6999999999999993
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,2,16,14,1,0,0,0,0,4.5,20,43,66,15,38,62,4,2,0,2.5
Fernando Tapia,MEX,Goalkeeper,UANL,,2001,3,3,270,2,17,15,1,0,0,0,0,3.0,12,35,68,14,36,52,2,5,0,1.0
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,0,4,4,1,0,0,0,0,0.2,3,6,21,9,4,9,0,0,0,0.2
Francesco Bardi,ITA,Goalkeeper,Reggiana,,1992,36,36,3240,49,139,94,8,2,2,0,0,44.9,140,422,663,115,259,611,24,4,0,-4.100000000000001
Francesco Corriere,ITA,Goalkeeper,Salernitana,,2006,1,0,47,1,1,0,0,0,0,0,0,0.8,9,17,17,1,5,9,0,0,0,-0.19999999999999996
Francisco Meixedo,POR,Goalkeeper,Estrela,,2001,1,0,45,0,3,3,1,0,0,0,0,0.2,4,9,14,4,7,6,0,0,0,0.2
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,17,69,53,13,0,0,0,0,19.1,75,175,422,118,161,244,10,26,0,2.1000000000000005
Franco Israel,URU,Goalkeeper,Sporting CP,,2000,11,11,990,9,25,16,7,0,0,0,0,7.0,13,33,214,45,50,99,2,4,0,-2.0
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,19,68,49,9,2,1,1,0,19.5,147,361,558,73,108,286,29,20,1,0.5
Freddie Woodman,ENG,Goalkeeper,Preston,,1997,37,37,3329,43,130,86,12,4,3,1,0,38.3,250,634,1232,206,230,539,32,61,1,-4.700000000000003
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,20,58,37,3,1,0,1,0,18.5,27,80,231,58,90,200,13,9,1,-1.5
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,7,17,10,0,0,0,0,0,4.9,16,53,93,14,22,47,0,2,0,-2.0999999999999996
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,13,61,47,9,2,1,1,0,14.799999999999999,80,238,416,60,152,225,9,26,1,1.7999999999999994
Gabriel Batista,BRA,Goalkeeper,Santa Clara,,1998,34,34,3060,32,114,81,11,6,4,1,1,29.1,164,518,738,118,283,453,39,27,2,-2.8999999999999986
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,21,80,60,4,3,3,0,0,21.6,56,154,283,53,125,245,4,15,0,0.6000000000000014
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6,0,0.09999999999999964
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,2,5,3,0,0,0,0,0,0.9,2,10,27,4,6,12,3,4,0,-1.1
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1,0,-1.2000000000000002
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5,0,0.2999999999999998
Gavin Bazunu,IRL,Goalkeeper,Standard Liège,,2002,6,6,540,12,25,13,1,0,0,0,0,11.5,25,92,178,25,28,77,0,15,0,-0.5
George Evans,ENG,Goalkeeper,Millwall,,2005,4,4,360,8,19,11,1,0,0,0,0,4.5,37,89,81,8,31,70,4,6,0,-3.5
George Long,ENG,Goalkeeper,Norwich City,,1993,9,8,765,19,44,24,1,3,2,1,0,15.2,18,72,267,48,39,128,4,10,1,-3.8000000000000007
Giacomo Drago,ITA,Goalkeeper,Südtirol,,2001,5,5,450,10,26,16,0,1,1,0,0,8.7,14,43,106,33,28,64,5,8,0,-1.3000000000000007
