Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Sebastiano Desplanches,ITA,Goalkeeper,Palermo,0.0,2003,21,20,1854,1.02,3.64,2.67,0.29,0.05,0.05,0.0,0.0,0.83,3.74,9.95,29.17,5.29,5.39,14.56,0.68,1.17,0.0,-0.18,73.35,37.59,4.67
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,0.67,4.5,3.83,0.33,0.0,0.0,0.0,0.0,1.1,7.0,18.0,15.5,3.0,10.17,17.5,0.5,1.83,0.0,0.43,85.11,38.89,2.86
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,0.0,1997,21,21,1890,1.43,4.14,2.76,0.24,0.1,0.1,0.0,0.0,1.3,3.29,12.29,27.52,3.05,5.71,12.52,0.52,0.62,0.0,-0.13,66.67,26.77,4.15
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,1.67,3.33,1.67,0.33,0.33,0.33,0.0,0.0,1.17,2.67,11.67,19.0,4.67,4.0,12.33,0.67,0.67,0.0,-0.5,50.15,22.88,5.43
Senne Lammens,BEL,Goalkeeper,Antwerp,0.0,2002,30,30,2700,1.07,5.37,4.23,0.23,0.2,0.07,0.13,0.0,1.48,4.57,12.3,32.77,5.57,4.73,13.13,1.47,0.7,0.13,0.42,78.77,37.15,11.2
Seny Dieng,SEN,Goalkeeper,Middlesbrough,0.0,1994,17,17,1530,1.24,2.76,1.65,0.29,0.0,0.0,0.0,0.0,0.96,1.59,6.94,27.59,4.88,4.53,14.24,0.71,1.41,0.0,-0.27,59.78,22.91,4.99
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,0.44,4.44,4.0,0.44,0.0,0.0,0.0,0.0,0.98,2.44,11.78,23.33,5.78,5.11,16.22,0.22,0.0,0.0,0.53,90.09,20.71,1.36
Simon Mignolet,BEL,Goalkeeper,Club Brugge,0.0,1988,30,30,2669,1.18,3.47,2.33,0.27,0.13,0.1,0.03,0.0,1.21,4.86,10.15,31.02,3.78,4.82,12.61,0.57,0.91,0.03,0.03,67.15,47.88,4.52
Simon Moore,ENG,Goalkeeper,Sunderland,0.0,1990,4,4,360,0.5,2.5,2.0,0.75,0.0,0.0,0.0,0.0,0.45,3.5,12.25,23.5,5.75,6.25,15.25,1.0,1.25,0.0,-0.05,80.0,28.57,6.56
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,0.0,2000,9,9,720,1.0,6.0,5.0,0.12,0.0,0.0,0.0,0.0,1.44,4.0,14.0,28.12,3.88,6.0,17.25,1.75,0.62,0.0,0.44,83.33,28.57,10.14
