Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,26,180,3.5,1.5,2.0,1.25,-0.25,0.5,8.5,19.5,27.5,6.5,1068.1,6.0,354.15,20.5,0.5,1.5,19.8,1,57.14,43.59,2.44,20.41
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,32,90,4.0,0.0,4.0,0.6,0.6,1.0,8.0,21.0,49.0,4.0,1538.6,5.0,281.0,22.0,0.0,2.0,37.4,1,100.0,38.1,0.0,15.0
David Raya,ESP,Arsenal,English Premier League,GK,Goalkeeper,29,180,4.0,0.0,4.0,0.4,0.4,1.0,4.5,13.5,30.0,5.0,942.4,4.5,291.6,7.0,1.5,0.0,0.0,1,100.0,33.33,21.43,10.0
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,180,3.0,0.5,3.0,0.3,-0.2,0.5,6.5,27.5,19.5,1.0,1038.65,10.5,667.7,20.5,0.5,0.0,0.0,1,100.0,23.64,2.44,10.0
David de Gea,ESP,Fiorentina,Italian Serie A,GK,Goalkeeper,34,90,5.0,1.0,4.0,1.0,0.0,0.0,2.0,9.0,31.0,6.0,796.7,7.0,389.2,9.0,0.0,1.0,11.5,1,80.0,22.22,0.0,16.0
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,28,180,1.5,0.5,1.0,0.5,0.0,0.5,4.5,14.5,24.0,2.0,877.45,11.5,397.55,19.5,0.5,0.5,6.0,1,66.67,31.03,2.56,22.22
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,23,90,5.0,3.0,2.0,2.8,-0.2,0.0,5.0,15.0,50.0,4.0,1585.0,8.0,428.8,14.0,3.0,4.0,64.0,1,40.0,33.33,21.43,22.4
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,32,134,2.69,1.34,2.01,1.01,-0.34,0.67,6.72,22.84,35.6,3.36,1420.86,3.36,217.01,10.07,0.67,0.67,10.95,1,74.72,29.42,6.65,28.06
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,23,90,1.0,1.0,0.0,0.8,-0.2,0.0,3.0,6.0,24.0,5.0,674.4,4.0,103.2,8.0,0.0,1.0,21.0,1,0.0,50.0,0.0,0.0
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,90,5.0,1.0,4.0,1.5,0.5,0.0,0.0,15.0,34.0,5.0,1149.2,9.0,350.1,18.0,3.0,0.0,0.0,1,80.0,0.0,16.67,24.0
Emiliano Martínez,ARG,Aston Villa,English Premier League,GK,Goalkeeper,32,90,2.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,35.0,5.0,815.5,3.0,72.9,7.0,1.0,0.0,0.0,1,50.0,80.0,14.29,25.0
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,90,4.0,1.0,3.0,2.1,1.1,0.0,6.0,22.0,27.0,1.0,1198.8,7.0,366.1,18.0,2.0,0.0,0.0,1,75.0,27.27,11.11,39.38
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,90,9.0,5.0,4.0,2.6,-2.4,0.0,3.0,7.0,30.0,3.0,882.0,2.0,112.0,10.0,1.0,2.0,28.4,1,44.44,42.86,10.0,12.84
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,90,6.0,1.0,5.0,2.2,1.2,0.0,15.0,30.0,23.0,2.0,1212.1,9.0,555.3,30.0,5.0,0.0,0.0,1,83.33,50.0,16.67,30.56
Gerónimo Rulli,ARG,Marseille,French Ligue 1,GK,Goalkeeper,33,180,4.5,1.5,3.0,1.2,-0.3,0.0,2.5,4.5,27.5,3.5,602.7,3.0,115.0,4.0,0.5,6.5,147.0,1,66.67,55.56,12.5,17.78
Gregor Kobel,SUI,Dortmund,German Bundesliga,GK,Goalkeeper,27,90,7.0,3.0,4.0,2.1,-0.9,0.0,4.0,11.0,35.0,5.0,973.0,4.0,236.0,20.0,1.0,0.0,0.0,1,57.14,36.36,5.0,17.14
Guglielmo Vicario,ITA,Tottenham,English Premier League,GK,Goalkeeper,28,180,4.0,0.0,4.0,0.85,0.85,1.0,2.5,11.0,43.0,3.5,1239.0,7.0,216.6,11.5,0.0,0.5,8.0,1,100.0,22.73,0.0,21.25
