Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Federico Lanzillota,ARG,Goalkeeper,Bolívar,32,1992,3,3,270,9,41,6,68,18,21,39,46,76,1,2,96,98,93,4,75,97,37,9,76,3,50,75,50
Federico Losas,ARG,Goalkeeper,Platense,23,2002,4,4,360,25,41,20,12,18,21,39,46,73,74,52,8,37,39,7,57,43,37,25,69,11,50,57,50
Felipe Longo,BRA,Goalkeeper,Corinthians,20,2005,2,2,180,38,25,12,88,94,95,39,46,38,14,42,28,6,76,95,5,28,37,38,84,12,50,5,50
Felipe Zenobio,ARG,Goalkeeper,Tigre,25,2000,29,29,2610,84,17,28,77,47,49,39,93,18,47,41,12,33,46,67,75,20,77,84,3,77,50,75,50
Fernando Miguel,BRA,Goalkeeper,Ceará,40,1985,8,7,657,79,60,77,81,81,87,39,46,37,68,73,42,34,78,94,86,66,37,79,55,85,50,86,50
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,16,16,1470,80,45,66,75,40,47,39,46,25,57,42,52,92,51,57,95,62,37,80,50,85,50,95,50
Fernando de Paul,CHI,Goalkeeper,Colo-Colo,34,1991,1,1,90,98,41,87,98,18,21,39,46,1,21,5,28,99,10,6,5,6,37,98,94,98,50,5,50
Filip Stankovic,SRB,Goalkeeper,Venezia,23,2002,9,9,810,73,46,64,84,18,21,39,46,35,71,59,97,81,2,65,59,60,37,73,43,77,50,59,50
Francesco Bardi,ITA,Goalkeeper,Palermo,33,1992,1,1,90,73,12,12,12,18,21,39,46,1,8,5,8,55,3,81,5,6,37,73,94,38,50,5,50
Franco Armani,ARG,Goalkeeper,River Plate,39,1986,37,37,3360,84,19,29,85,37,44,39,46,16,26,15,10,77,53,10,23,53,37,84,16,78,50,23,50
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27,1998,29,29,2610,60,32,33,77,58,58,81,46,38,93,82,67,67,40,58,89,61,77,60,3,52,50,89,50
Fábio,BRA,Goalkeeper,Fluminense,45,1980,29,29,2610,58,23,18,74,37,21,81,46,28,9,6,7,49,42,33,65,31,77,58,3,31,50,65,50
Gabriel,BRA,Goalkeeper,Vitória,33,1992,18,18,1620,35,82,84,37,65,73,39,46,70,49,52,34,50,51,47,39,83,37,35,43,65,50,39,50
Gabriel Arias,CHI,Goalkeeper,Racing Club,38,1987,26,26,2273,78,31,36,75,53,53,84,46,25,50,51,36,35,72,24,26,71,80,78,27,66,50,26,50
Gabriel Batista,BRA,Goalkeeper,Santa Clara,27,1998,9,9,810,64,30,27,68,50,21,92,46,34,56,57,35,78,69,45,68,18,91,64,43,35,50,68,50
Gabriel Brazão,BRA,Goalkeeper,Santos,25,2000,29,29,2587,40,57,63,45,65,73,39,46,54,28,19,7,20,53,50,14,44,37,40,3,48,50,14,50
Gabriel Castellón,CHI,Goalkeeper,U de Chile,32,1993,6,6,540,73,36,47,68,65,73,39,46,24,36,21,13,28,39,49,20,56,37,73,60,73,50,20,50
Gabriel Chapecó,BRA,Goalkeeper,Grêmio,25,2000,5,5,450,45,82,87,43,71,78,39,46,82,60,55,13,47,90,94,89,46,37,45,65,73,50,89,50
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23,2002,2,2,180,73,25,31,88,18,21,39,46,4,31,36,68,23,23,9,92,99,37,73,84,64,50,92,50
Gastón Olveira,URU,Goalkeeper,Olimpia,32,1993,3,3,270,50,53,58,68,18,21,39,46,19,65,52,30,4,52,22,5,18,37,50,76,52,50,5,50
Gatito Fernández,PAR,Goalkeeper,Cerro Porteño,37,1988,3,3,270,30,72,71,12,18,21,39,46,81,52,31,18,43,86,40,20,80,37,30,76,36,50,20,50
Gavin Bazunu,IRL,Goalkeeper,Southampton,23,2002,6,6,540,38,6,3,37,65,73,39,46,21,14,37,66,87,72,44,20,63,37,38,60,5,50,20,50
Gaëtan Coucke,BEL,Goalkeeper,Sampdoria,26,1998,2,2,180,38,4,2,12,18,21,39,46,64,44,32,4,13,76,13,5,6,37,38,84,2,50,5,50
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,37,1988,2,2,180,73,58,75,12,18,21,39,46,68,85,79,9,0,39,46,75,74,37,73,84,83,50,75,50
Gonzalo Crettaz,ARG,Goalkeeper,NEC Nijmegen,25,2000,10,10,900,18,69,58,43,83,88,39,46,86,92,96,98,75,8,14,17,97,37,18,35,21,50,17,50
Gonzalo Siri Payer,ARG,Goalkeeper,Arg Juniors,22,2003,1,0,45,15,41,12,12,18,21,39,46,5,44,14,2,6,99,26,5,6,37,15,98,7,50,5,50
Gonzalo Valle,ECU,Goalkeeper,LDU de Quito,29,1996,10,10,886,94,66,91,93,18,21,39,46,33,48,59,62,60,91,92,39,58,37,94,35,96,50,39,50
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,31,31,2745,67,26,35,68,37,44,39,46,27,70,48,52,29,27,39,63,34,37,67,20,68,50,63,50
Guido Villar,ARG,Goalkeeper,Independiente,27,1998,6,6,540,21,67,58,37,87,73,98,46,62,25,12,16,23,48,55,20,48,96,21,60,22,50,20,50
Guillaume Dietsch,FRA,Goalkeeper,Dender,24,2001,3,3,270,15,94,94,12,18,21,39,46,76,88,77,36,91,69,97,88,87,37,15,76,57,50,88,50
Guillermo Allison,MEX,Goalkeeper,Querétaro,35,1990,10,10,900,22,89,87,43,90,88,91,46,90,39,61,14,17,95,98,88,41,88,22,35,46,50,88,50
Guillermo Vizcarra,BOL,Goalkeeper,Alianza Lima,32,1993,6,6,540,21,67,58,12,87,90,39,46,32,82,64,21,89,88,61,65,28,37,21,60,22,50,65,50
Guillermo de Amores,URU,Goalkeeper,Peñarol,31,1994,3,3,270,89,21,39,95,18,21,39,46,5,36,55,41,95,52,8,20,6,37,89,76,89,50,20,50
Gustavo,BRA,Goalkeeper,Juventude,32,1993,10,10,855,9,89,74,29,84,80,92,46,86,18,17,43,79,61,68,66,12,91,9,43,14,50,66,50
Harlen Castillo,COL,Goalkeeper,Nacional,32,1993,1,1,90,98,2,12,98,18,21,39,46,1,44,52,81,6,0,3,5,6,37,98,94,98,50,5,50
Helton Leite,BRA,Goalkeeper,Fortaleza,34,1990,6,6,540,21,64,47,37,87,90,39,46,53,27,20,10,66,41,16,47,18,37,21,76,19,50,47,50
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,32,1993,5,5,450,45,77,87,12,71,78,39,46,75,44,24,88,68,2,38,61,21,37,45,65,80,50,61,50
Hernán Galíndez,ECU,Goalkeeper,Huracán,38,1987,25,25,2250,91,6,14,91,53,53,84,46,11,62,61,31,10,63,53,71,24,80,91,11,78,50,71,50
Hidde Jurjus,NED,Goalkeeper,Groningen,31,1994,3,3,270,3,86,58,12,87,90,39,46,89,71,88,87,43,7,20,47,69,37,3,76,9,50,47,50
Hugo González Durán,MEX,Goalkeeper,Toluca,35,1990,9,9,807,56,37,41,68,50,21,92,46,35,12,16,45,50,56,32,59,66,91,56,43,50,50,59,50
Hugo Lloris,FRA,Goalkeeper,LAFC,38,1986,32,32,2835,66,17,19,75,55,58,39,93,23,53,39,32,44,33,32,32,44,77,66,3,49,50,32,50
Hugo Souza,BRA,Goalkeeper,Corinthians,26,1999,23,23,2070,63,22,21,75,80,86,39,46,36,26,22,41,38,43,29,26,21,37,63,11,38,50,26,50
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33,1992,29,29,2610,93,32,68,94,58,67,39,46,14,98,98,55,2,82,98,98,75,37,93,3,95,50,98,50
Ignacio De Arruabarrena,URU,Goalkeeper,Barcelona,28,1997,2,1,144,19,85,81,12,18,21,39,46,50,24,18,3,27,98,24,40,85,37,19,89,41,50,40,50
Ivan,BRA,Goalkeeper,Internacional,28,1997,3,3,270,89,80,91,68,87,21,99,46,32,27,55,8,11,76,57,47,18,99,89,76,90,50,47,50
Ivor Pandur,CRO,Goalkeeper,Hull City,25,2000,12,12,1080,30,64,52,37,65,53,88,46,70,93,92,80,26,78,91,94,69,85,30,27,23,50,94,50
J.T. Marcinkowski,USA,Goalkeeper,LA Galaxy,28,1997,3,3,270,73,3,3,68,18,21,39,46,16,4,17,83,81,18,48,75,38,37,73,76,12,50,75,50
