Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Marcão,BRA,Goalkeeper,Juventude,33,1992,6,5,495,44,39
Marino Arzamendia,PAR,Goalkeeper,Olimpia,27,1998,2,2,180,11,57
Marius Adamonis,LTU,Goalkeeper,Südtirol,28,1997,7,7,630,37,46
Martin Delavallée,BEL,Goalkeeper,Charleroi,21,2004,12,12,1080,37,75
Martín Campaña,URU,Goalkeeper,Peñarol,36,1989,3,3,270,84,42
Martín Silva,URU,Goalkeeper,Libertad,42,1983,3,3,300,81,51
Matej Kovar,CZE,Goalkeeper,PSV Eindhoven,25,2000,10,10,900,51,69
Matheus Donelli,BRA,Goalkeeper,Corinthians,23,2002,5,5,450,51,30
Matheus Mendes,BRA,Goalkeeper,Alverca,26,1999,1,1,90,14,26
Matt Freese,USA,Goalkeeper,NYCFC,27,1998,31,31,2766,51,41
Matt Turner,USA,Goalkeeper,NE Revolution,31,1994,10,10,900,49,76
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,20,2005,12,12,1080,48,62
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,31,1993,10,10,900,53,65
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,27,1998,29,29,2610,69,53
Matías Mansilla,ARG,Goalkeeper,Estudiantes–LP,29,1996,34,34,3060,59,46
Matías Tagliamonte,ARG,Goalkeeper,Unión,27,1998,15,15,1350,65,44
Max Crocombe,NZL,Goalkeeper,Millwall,32,1993,3,3,270,84,47
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31,1994,15,15,1350,44,60
Maxime Delanghe,BEL,Goalkeeper,Cercle Brugge,24,2001,11,11,972,48,41
Michael Brouwer,NED,Goalkeeper,Utrecht,32,1993,2,1,135,19,84
Michael Collodi,USA,Goalkeeper,FC Dallas,24,2001,9,9,735,77,68
Michael Cooper,ENG,Goalkeeper,Sheffield Utd,26,1999,12,12,1080,39,54
Michael Verrips,NED,Goalkeeper,Dender,28,1996,9,9,810,34,68
Michele Cerofolini,ITA,Goalkeeper,Bari,26,1999,9,9,810,41,51
Mirko Pigliacelli,ITA,Goalkeeper,Catanzaro,32,1993,9,9,810,57,54
Mouhamadou Sarr,SEN,Goalkeeper,Spezia,28,1997,4,4,360,48,57
Nacho Miras,ESP,Goalkeeper,Mechelen,28,1997,7,7,630,79,68
Nahuel Guzmán,ARG,Goalkeeper,UANL,39,1986,15,15,1350,69,46
Nahuel Losada,ARG,Goalkeeper,Lanús,32,1993,28,28,2475,87,60
Nathan Baxter,ENG,Goalkeeper,Watford,26,1998,2,1,135,71,54
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30,1995,26,26,2340,67,48
Neto,BRA,Goalkeeper,Botafogo (RJ),36,1989,3,3,224,57,51
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,29,1996,3,3,270,18,26
