Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
David Ospina,COL,Goalkeeper,Nacional,37,1988,7,7,660,7,27,20,2,3,3,0,0,7.8,36,80,242,38,23,79,6,5,0,-7.0,1
Davy Roef,BEL,Goalkeeper,Gent,31,1994,12,12,1080,17,66,51,3,1,1,0,0,17.7,51,152,376,77,68,196,10,11,0,-17.0,1
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28,1997,30,30,2700,30,139,111,10,4,2,1,1,36.7,163,522,811,94,194,548,18,17,2,-30.0,1
Demba Thiam,SEN,Goalkeeper,Monza,27,1998,9,9,810,7,28,20,3,1,0,1,0,8.5,49,126,293,36,33,106,13,21,1,-7.0,1
Diego Enriquez,PER,Goalkeeper,Sporting Cristal,23,2002,6,6,540,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6,0,-16.0,1
Diego Mascardi,ITA,Goalkeeper,Spezia,19,2006,5,5,450,8,19,11,1,2,2,0,0,7.8,33,91,164,14,35,54,5,4,0,-8.0,1
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36,1989,28,28,2475,17,77,60,15,3,2,1,0,20.6,154,347,760,53,147,319,14,11,1,-17.0,1
Diogenes,BRA,Goalkeeper,Santos,24,2001,1,0,23,0,3,3,0,0,0,0,0,0.2,4,11,5,1,9,14,1,0,0,0.0,1
Diogo Costa,POR,Goalkeeper,Porto,26,1999,8,8,720,1,13,13,7,0,0,0,0,2.6,44,95,303,21,41,93,2,18,0,-1.0,1
Drake Callender,USA,Goalkeeper,Inter Miami,28,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3,0,-5.0,1
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,7,5,565,13,26,13,2,1,1,0,0,9.4,25,75,143,35,34,62,1,10,0,-13.0,1
Edoardo Motta,ITA,Goalkeeper,Reggiana,20,2005,9,9,810,14,48,34,1,0,0,0,0,15.3,27,121,185,40,88,154,6,5,0,-14.0,1
Egil Selvik,NOR,Goalkeeper,Watford,28,1997,11,11,945,15,45,31,0,0,0,0,0,15.0,38,133,280,36,77,164,7,9,0,-15.0,1
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43,1982,29,29,2610,35,121,88,9,3,3,0,0,35.1,173,365,626,102,221,466,17,18,0,-35.0,1
Ethan Horvath,USA,Goalkeeper,Sheffield Weds,30,1995,8,8,719,17,43,27,1,1,1,0,0,14.0,32,180,218,33,77,143,8,14,0,-17.0,1
Etienne Vaessen,SUR,Goalkeeper,Groningen,30,1995,7,7,630,5,20,15,3,0,0,0,0,3.4,68,175,335,36,39,96,8,26,0,-5.0,1
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,6,6,540,5,15,10,2,0,0,0,0,4.1,7,27,177,25,35,47,4,15,0,-5.0,1
Evan Louro,USA,Goalkeeper,FC Cincinnati,29,1996,4,4,360,4,20,16,1,0,0,0,0,5.5,20,58,83,5,48,64,1,8,0,-4.0,1
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28,1997,29,29,2610,31,119,90,11,6,5,1,0,32.5,170,504,592,105,250,536,27,14,1,-31.0,1
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,30,1995,15,15,1350,30,63,33,1,4,3,0,1,23.0,66,190,339,37,140,165,12,20,1,-30.0,1
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,25,2000,8,8,720,20,56,36,1,0,0,0,0,19.2,76,214,285,17,50,134,6,7,0,-20.0,1
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,23,2002,1,1,90,0,3,3,1,0,0,0,0,0.3,1,2,10,4,6,13,0,0,0,0.0,1
Facundo Altamirano,ARG,Goalkeeper,San Lorenzo,29,1996,1,1,90,1,1,0,0,0,0,0,0,0.9,6,18,18,1,4,13,0,2,0,-1.0,1
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,17,14,1324,10,59,49,9,0,0,0,0,12.5,74,217,288,47,132,216,8,7,0,-10.0,2
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24,2001,29,29,2610,37,123,84,8,6,4,2,0,35.9,159,406,511,97,229,420,20,16,2,-37.0,1
Federico Del Frate,ITA,Goalkeeper,Virtus Entella,29,1995,1,1,90,2,5,3,0,0,0,0,0,1.8,1,1,15,7,5,12,1,4,0,-2.0,1
Federico Lanzillota,ARG,Goalkeeper,Bolívar,32,1992,3,3,270,7,12,5,1,0,0,0,0,5.1,1,9,131,22,30,25,3,10,0,-7.0,1
Federico Losas,ARG,Goalkeeper,Platense,23,2002,4,4,360,7,16,9,0,0,0,0,0,6.6,22,52,64,14,24,37,3,3,0,-7.0,1
Felipe Longo,BRA,Goalkeeper,Corinthians,20,2005,2,2,180,3,7,4,1,1,1,0,0,2.4,5,24,42,4,16,41,0,1,0,-3.0,1
