Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,3,5,3,0,0,0,0,0,2.2,4,18,21,6,6,4,0,0
David Bingham,USA,Goalkeeper,Charlotte,36,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34,1990,21,21,1827,17,64,47,8,2,2,0,0,21.5,101,218,446,60,98,213,9,29
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32,1993,26,26,2340,44,109,65,7,4,3,1,0,36.2,93,245,674,109,101,318,11,37
Chris Brady,USA,Goalkeeper,Chicago Fire,21,2004,28,28,2465,51,140,89,5,9,6,2,1,50.4,59,178,731,127,141,340,22,29
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2
Roman Bürki,SUI,Goalkeeper,St. Louis,34,1990,25,25,2250,44,131,89,4,7,7,0,0,43.7,120,308,770,119,175,333,15,29
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,6,6,540,5,15,10,2,0,0,0,0,4.1,7,27,177,25,35,47,4,15
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35,1990,34,34,3060,49,142,91,7,9,5,4,0,49.9,123,317,1223,108,222,375,9,57
Drake Callender,USA,Goalkeeper,Inter Miami,28,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3
Roman Celentano,USA,Goalkeeper,FC Cincinnati,25,2000,30,30,2700,36,121,86,10,7,4,1,2,37.2,101,294,719,141,208,442,21,12
Michael Collodi,USA,Goalkeeper,FC Dallas,24,2001,9,9,735,8,37,29,2,1,1,0,0,10.4,54,171,224,32,64,147,12,13
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28,1996,31,31,2790,42,140,99,10,3,2,1,0,47.8,94,376,837,152,173,363,24,58
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31,1994,15,15,1350,22,71,49,3,0,0,0,0,20.4,63,175,439,75,91,159,9,10
Daniel,BRA,Goalkeeper,SJ Earthquakes,31,1994,29,29,2495,50,146,98,3,1,1,0,0,50.7,100,312,701,121,163,343,18,44
C.J. dos Santos,USA,Goalkeeper,San Diego FC,25,2000,30,30,2700,38,125,87,10,6,5,1,0,39.2,36,107,887,137,130,273,18,46
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,7,5,565,13,26,13,2,1,1,0,0,9.4,25,75,143,35,34,62,1,10
Jordan Farr,USA,Goalkeeper,D.C. United,31,1994,3,2,248,8,17,10,0,0,0,0,0,5.5,21,46,71,10,15,41,1,9
Matt Freese,USA,Goalkeeper,NYCFC,27,1998,31,31,2766,42,131,91,8,4,3,1,0,42.1,52,201,752,183,135,361,20,46
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39,1986,26,26,2340,31,104,76,8,3,3,0,0,29.6,92,257,593,104,170,308,16,16
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3
Pedro Gallese,PER,Goalkeeper,Orlando City,35,1990,32,32,2880,49,154,106,8,3,3,0,0,51.8,126,310,598,83,178,454,21,39
Luka Gavran,CAN,Goalkeeper,Toronto FC,25,2000,3,3,270,3,9,6,0,0,0,0,0,2.1,10,42,87,11,20,46,3,3
Thomas Gillier,CHI,Goalkeeper,CF Montréal,21,2004,8,8,720,12,38,26,0,0,0,0,0,12.8,10,52,257,32,18,93,6,10
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,23,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4
Brad Guzan,USA,Goalkeeper,Atlanta Utd,41,1984,26,26,2340,49,134,85,2,6,6,0,0,43.6,107,254,664,123,182,292,8,33
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,29,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23
Thomas Hasal,CAN,Goalkeeper,LAFC,26,1999,2,1,135,5,10,5,1,0,0,0,0,3.1,1,16,38,13,10,16,3,0
Jayden Hibbert,CAN,Goalkeeper,Atlanta Utd,21,2004,8,8,720,14,45,31,2,0,0,0,0,14.0,21,74,217,36,42,100,7,9
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,35,101,66,8,4,4,0,0,31.3,83,277,438,57,198,293,9,11
Jacob Jackson,USA,Goalkeeper,FC Dallas,25,2000,4,3,342,4,25,22,1,0,0,0,0,5.7,26,89,83,11,39,106,3,3
Sean Johnson,USA,Goalkeeper,Toronto FC,36,1989,31,31,2790,41,152,110,7,5,4,1,0,51.9,113,341,700,117,231,394,15,21
Kim Joonhong,KOR,Goalkeeper,D.C. United,22,2003,8,8,720,19,42,23,1,2,2,0,0,16.8,59,135,213,30,55,93,5,15
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33,1992,32,32,2880,44,168,123,12,9,8,1,0,52.2,94,250,848,168,174,459,21,21
Hugo Lloris,FRA,Goalkeeper,LAFC,38,1986,32,32,2835,34,102,70,11,4,3,0,1,31.5,137,360,682,116,177,387,17,24
Evan Louro,USA,Goalkeeper,FC Cincinnati,29,1996,4,4,360,4,20,16,1,0,0,0,0,5.5,20,58,83,5,48,64,1,8
Benjamin Lundt,GER,Goalkeeper,St. Louis,30,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6
J.T. Marcinkowski,USA,Goalkeeper,LA Galaxy,28,1997,3,3,270,3,7,4,1,0,0,0,0,2.7,4,26,98,15,14,41,3,2
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,26,1999,2,2,180,2,5,3,0,0,0,0,0,1.4,5,24,59,10,10,17,1,4
