Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Real Sociedad,25.9,52.3,8,8,10.3,106,34,0,1,187,12,3204,4006,1320,1538,1442,1646,345,587,81,244,55,9,335,141,331,143,85,62,54,27,60,117,57,88,64,132,1,4889,443,1285,2360,1288,194,4888,177,85,3166,100,54,117,81,3159,18,0,0,125,70,15,1,0,0,429,152,131,6,25,19,4,0,0,0,0,7.9,55,144,223,8,36,81,2,6
Red Star,26.6,40.7,6,6,8.7,83,27,0,0,142,10,1678,2235,731,846,703,879,215,392,63,132,38,13,189,90,189,100,47,42,38,20,49,113,64,89,50,123,4,2954,418,1144,1164,681,135,2954,124,60,1441,56,33,87,53,1664,21,0,0,82,58,17,0,2,1,304,80,80,15,45,31,0,2,2,0,0,15.1,30,61,116,16,61,84,1,5
Sevilla,29.8,48.8,6,7,5.9,52,17,1,1,92,14,2123,2748,928,1077,924,1101,218,433,41,149,37,15,178,79,176,114,70,55,54,5,57,115,58,64,44,91,0,3367,374,1158,1572,674,94,3366,102,39,2054,75,15,83,47,2100,16,2,1,75,67,9,1,2,1,302,82,90,12,27,16,0,2,2,0,0,10.7,41,110,173,20,57,79,6,2
Shakhtar,24.9,44.3,6,9,7.4,69,26,0,0,115,16,2210,2713,1089,1188,856,987,213,386,51,129,36,7,154,73,152,111,62,63,36,12,57,130,73,66,47,154,6,3366,517,1464,1367,564,102,3366,74,39,2242,55,20,84,59,2183,15,0,0,70,55,13,0,1,0,278,53,63,12,37,25,2,1,0,0,1,11.3,27,61,161,24,44,93,8,10
Union Berlin,28.5,33.8,6,6,5.6,57,20,0,0,101,10,1659,2244,703,830,706,864,209,418,43,139,47,18,165,84,164,93,49,53,32,8,40,100,60,85,36,156,3,2897,429,1139,1199,588,100,2897,64,26,1487,46,14,71,34,1647,16,0,0,81,52,13,0,1,0,285,89,93,10,29,18,0,1,0,1,0,10.4,30,89,150,31,48,116,7,1
Young Boys,25.7,43.3,6,6,6.4,73,21,1,1,125,11,1910,2478,806,956,794,918,260,453,59,136,25,14,142,85,141,95,61,44,36,15,40,114,74,110,59,99,2,3157,412,1138,1324,736,80,3156,116,54,1746,73,18,83,48,1896,15,1,1,87,50,18,0,2,0,290,64,71,13,44,31,1,2,2,0,0,14.9,36,94,190,31,56,71,2,4
Atalanta,26.3,51.0,38,72,57.8,539,197,5,5,971,128,16051,19961,7280,8321,6956,7989,1466,2642,437,1223,381,114,1754,715,1733,613,369,273,249,91,291,597,306,483,340,614,7,24136,2222,7494,10658,6186,912,24131,618,286,13092,519,175,621,377,15915,76,1,1,486,367,63,4,9,1,2023,627,491,42,142,99,15,9,6,2,1,39.8,161,459,974,213,270,444,30,55
Bologna,25.2,58.1,38,52,47.9,472,159,4,5,823,78,19125,22504,9408,10260,7744,8573,1415,2441,356,1267,256,55,1453,660,1441,633,385,299,267,67,303,579,276,426,258,677,17,26520,2581,8683,12696,5367,718,26515,673,293,15952,485,149,542,311,18969,85,2,2,458,456,55,3,7,1,1769,416,413,32,125,91,17,7,3,2,2,32.1,118,348,941,159,285,505,13,19
Cagliari,26.1,42.1,38,41,42.9,442,127,4,6,785,70,10731,14709,4427,5206,4662,5786,1441,2966,330,863,260,125,1109,529,1097,540,315,272,203,65,264,525,261,373,265,816,12,18599,2190,6532,7916,4352,669,18593,516,237,9242,339,111,545,338,10604,77,4,2,464,418,64,3,5,3,1774,571,613,68,157,92,5,5,4,0,1,56.2,202,544,838,137,312,583,28,24
Empoli,26.0,44.0,38,26,36.2,413,112,5,5,718,46,11571,15348,4961,5759,5094,6059,1240,2680,297,827,206,74,1056,524,1049,618,378,311,227,80,300,564,264,462,263,840,9,19512,2513,7254,8232,4226,643,19507,578,226,10392,356,142,543,304,11485,88,1,1,524,514,82,4,8,1,1623,509,628,54,185,130,9,8,6,2,0,48.9,162,542,1031,220,309,645,42,31
Fiorentina,27.0,57.4,38,60,51.7,515,171,4,8,910,106,16180,19975,6368,7193,7511,8557,2004,3302,395,1327,374,103,1656,621,1640,564,320,242,231,91,275,512,237,388,236,509,8,23660,2134,6769,10823,6270,912,23652,626,279,13985,541,162,543,331,15981,80,0,0,459,450,57,6,9,0,1720,626,603,46,148,101,8,9,8,1,0,45.5,191,458,1257,138,209,353,8,32
Frosinone,24.3,49.7,38,44,45.8,460,147,8,10,801,75,13740,17545,6769,7660,5457,6523,1085,2330,350,962,279,69,1326,563,1308,545,322,244,225,76,253,525,272,439,241,789,14,21725,2575,7362,9638,4917,700,21715,709,297,11253,414,147,578,348,13600,68,2,1,388,442,48,8,8,2,1780,518,602,69,180,112,7,8,5,1,2,53.4,90,416,956,175,316,538,22,26
Genoa,26.7,44.1,38,43,35.7,397,119,5,6,705,75,12053,15765,5128,5934,5142,6121,1379,2710,300,865,223,75,1079,468,1061,625,352,315,247,63,283,571,288,462,332,796,11,19810,2525,7228,8554,4197,577,19804,450,193,10591,367,83,577,293,11911,79,3,3,450,406,47,3,4,1,1643,610,543,45,139,94,9,4,3,1,0,41.6,245,634,1174,110,325,609,48,41
Hellas Verona,25.7,44.4,38,38,38.0,435,146,3,7,777,69,10639,14710,4116,5023,4666,5727,1618,3113,335,958,216,92,1122,539,1108,621,387,302,245,74,293,578,285,414,302,784,15,18925,2169,6433,8621,4096,598,18918,567,252,9746,384,113,595,284,10515,88,6,2,541,447,61,4,2,1,1842,750,644,51,163,113,8,2,2,0,0,43.5,331,791,983,111,319,492,22,45
Inter,29.1,57.1,38,87,78.2,580,196,13,14,1059,152,19136,22447,8631,9446,8159,9056,1839,2800,440,1288,437,116,1620,720,1603,540,321,252,219,69,234,474,240,365,280,576,7,26071,2584,8236,11755,6248,1016,26057,435,195,15792,567,163,474,230,18982,46,1,0,405,408,77,11,4,0,1602,535,370,22,113,90,21,4,2,1,1,29.2,111,252,1196,151,249,453,24,16
Juventus,26.5,48.5,38,52,54.6,531,146,3,5,936,87,14757,18079,5963,6728,6820,7755,1727,2762,417,1191,296,105,1473,709,1451,577,369,270,233,74,264,445,181,375,253,725,4,22071,2211,6537,10295,5426,881,22066,596,259,12537,501,183,553,307,14598,87,2,1,478,376,72,3,3,2,1656,486,434,31,116,86,17,3,2,1,0,30.1,154,360,768,144,321,601,28,23
Lazio,28.2,53.3,38,46,46.5,436,135,4,4,762,74,17462,21071,8440,9314,6970,7966,1557,2657,331,1270,316,62,1528,716,1521,581,348,259,254,68,283,618,335,430,295,640,7,24842,2339,7512,12115,5447,774,24838,607,272,13268,521,143,507,243,17337,101,5,2,473,435,72,3,3,0,1764,399,453,39,148,109,13,3,2,0,1,36.9,139,366,985,132,301,476,21,23
Lecce,24.9,44.9,38,30,43.1,503,147,3,5,879,49,11742,15397,4700,5530,5225,6158,1487,2846,378,895,211,87,1183,638,1171,605,374,285,252,68,289,566,277,429,308,751,8,19625,2361,6796,8874,4214,667,19620,651,299,10809,430,153,605,357,11618,89,5,2,504,481,56,4,6,1,1779,548,616,54,173,119,7,6,5,1,0,51.0,152,489,801,159,340,522,20,20
Milan,26.6,56.9,38,76,66.2,554,202,6,8,1006,139,17656,20741,7905,8708,7904,8738,1438,2341,430,1213,338,94,1569,899,1557,576,333,274,232,70,273,521,248,367,252,548,16,24529,2325,7583,11624,5537,941,24521,765,359,15357,648,228,520,293,17458,82,8,2,429,410,57,6,8,1,1616,432,410,49,163,115,13,8,8,0,0,42.7,146,351,1248,233,273,440,43,46
Monza,26.8,53.5,38,38,39.5,451,123,4,5,800,68,16734,19870,6742,7422,7969,8830,1771,2837,348,1087,251,92,1248,723,1236,565,334,307,195,63,266,484,218,378,279,642,8,23553,2841,8296,10598,4849,712,23548,490,216,14513,556,165,519,265,16564,88,5,4,458,408,40,2,9,0,1468,442,462,51,191,138,12,9,7,2,0,59.8,197,486,1223,230,319,531,22,21
Napoli,27.2,60.9,38,54,61.4,638,196,6,10,1145,86,19517,22942,9095,9898,8105,9121,1832,2884,497,1507,398,84,1758,802,1745,571,326,235,237,99,263,554,291,351,241,521,5,26725,2080,7134,12991,6831,1045,26715,744,327,15782,628,195,490,293,19328,77,5,3,381,451,71,8,4,0,1707,470,483,48,128,78,7,4,2,2,0,46.1,83,242,955,149,226,417,14,41
Roma,27.7,54.9,38,64,51.4,464,142,11,12,858,112,17066,20523,7660,8446,7615,8620,1474,2569,363,1217,315,87,1469,682,1462,569,336,261,229,79,249,535,286,370,242,623,16,23999,2517,7747,11359,5055,803,23987,486,221,14347,532,163,433,271,16913,95,3,1,455,430,66,7,5,3,1602,478,443,46,151,107,11,5,3,1,1,43.6,134,327,945,163,289,517,32,15
Salernitana,27.2,44.5,38,32,30.3,398,118,2,2,699,52,12124,15920,5624,6417,4851,5890,1233,2585,310,885,207,74,1119,499,1108,536,327,289,198,49,257,519,262,409,279,816,12,19905,2438,6768,9075,4257,572,19903,536,212,10350,391,115,560,304,12018,91,3,1,450,470,61,1,10,2,1634,520,662,81,207,128,2,10,10,0,0,68.1,183,647,858,127,345,631,15,31
Sassuolo,26.4,43.8,38,42,39.8,453,144,7,8,825,73,11978,15683,4986,5788,5295,6301,1385,2776,340,995,248,60,1301,636,1292,507,310,241,198,68,245,531,286,402,267,767,14,19492,2317,6391,8488,4817,713,19484,580,277,10365,455,157,538,332,11857,71,4,2,387,398,26,6,11,4,1600,452,607,75,173,101,3,11,8,1,2,56.9,189,585,987,154,347,582,26,30
Torino,26.4,51.6,38,35,37.7,432,121,2,2,764,63,14578,18229,6446,7271,6372,7364,1345,2609,338,1028,277,101,1333,710,1309,471,275,207,213,51,191,386,195,303,329,594,15,21921,2352,7011,10078,5040,678,21919,563,244,12779,463,123,547,272,14373,75,2,1,471,419,63,2,7,0,1679,588,594,36,143,107,18,7,7,0,0,37.3,274,812,1370,179,273,431,41,40
Udinese,25.7,39.3,38,36,39.1,457,134,3,4,793,63,9976,13300,4317,5066,4174,5111,1234,2396,329,874,186,76,1022,602,1012,606,381,345,213,48,299,571,272,437,327,988,10,17838,2312,6525,7635,3964,602,17834,721,336,9266,415,138,645,335,9874,94,5,3,496,418,57,4,9,1,1752,561,467,53,157,105,9,9,9,0,0,49.6,156,431,597,113,300,647,12,9
Brest,27.0,53.6,34,51,48.3,481,165,4,4,837,85,14111,17733,5352,6275,6263,7237,2059,3359,357,1155,269,105,1402,590,1385,679,427,295,299,85,306,715,409,386,321,644,13,21735,2170,6704,10200,5105,723,21731,690,326,15224,532,105,569,265,13983,84,5,2,414,422,34,2,3,0,1910,598,509,34,133,98,15,3,2,1,0,36.5,244,518,978,144,198,406,18,43
Clermont Foot,26.8,48.9,34,26,36.0,382,120,6,8,672,50,13390,16784,5792,6628,5654,6606,1435,2665,282,989,208,57,1247,537,1238,581,358,279,242,60,312,633,321,382,347,667,19,20572,2425,6911,9932,3924,578,20564,575,252,14537,470,113,498,269,13270,60,7,1,396,429,51,7,9,1,1695,393,414,60,212,152,5,9,7,1,1,64.9,226,613,1138,157,275,514,46,49
Le Havre,26.2,44.7,34,33,37.3,381,113,6,7,693,63,11739,15121,5123,6042,5019,5901,1150,2291,290,945,209,57,1199,457,1189,560,332,293,207,60,283,572,289,362,363,664,10,18820,2058,6332,8458,4240,620,18813,586,260,12860,446,114,453,284,11638,67,6,3,433,368,52,7,4,2,1638,485,482,45,158,114,7,4,2,1,1,49.9,158,463,709,135,251,482,32,25
Lens,26.7,52.9,34,45,54.1,487,167,6,7,857,74,14709,18083,6666,7617,6203,7157,1255,2217,368,1312,349,95,1624,609,1611,554,339,213,266,75,291,569,278,392,298,549,16,21677,1936,5779,10394,5721,811,21670,487,226,15840,612,113,527,317,14549,78,4,1,445,424,75,5,8,1,1775,451,388,37,138,101,14,8,6,1,1,43.3,164,379,923,148,221,396,32,39
Lille,25.1,56.6,34,50,48.6,438,165,2,3,773,81,16278,19319,7309,8169,7084,7941,1351,2273,324,1191,279,50,1468,650,1453,594,370,267,242,85,278,580,302,319,292,574,10,22824,2050,6613,11596,4827,761,22821,680,336,17241,532,190,468,310,16106,67,3,1,376,489,46,3,5,2,1642,355,346,34,128,94,15,5,3,2,0,37.5,106,360,1030,122,190,399,27,32
Lorient,24.7,46.3,34,41,37.1,368,135,1,1,641,63,13284,16298,5717,6546,5786,6600,1284,2251,274,1004,251,56,1293,632,1283,538,326,284,195,59,252,531,279,391,337,805,14,20198,2448,6962,9140,4345,640,20197,691,341,14463,548,117,535,315,13141,66,1,0,403,416,56,1,8,1,1684,410,394,66,207,142,4,8,8,0,0,64.0,139,378,850,162,299,591,24,13
Lyon,26.6,51.8,34,48,49.8,439,168,4,4,764,84,14823,17984,6513,7395,6362,7223,1409,2376,335,1163,330,74,1600,683,1577,538,331,241,203,94,250,578,328,343,304,563,12,21623,2216,6779,9649,5437,865,21619,742,375,15991,550,196,525,352,14665,57,6,1,425,367,52,4,6,1,1715,396,367,55,169,114,10,6,4,1,1,48.1,137,386,890,169,249,470,39,31
Marseille,27.3,53.7,34,50,54.9,477,152,4,4,851,88,14716,18000,6190,7030,6752,7732,1310,2344,349,1272,324,88,1613,635,1609,604,371,270,264,70,292,587,295,365,332,633,8,21671,1889,6061,10285,5532,815,21667,548,260,15835,595,156,478,303,14559,61,5,2,374,426,69,4,3,1,1753,372,365,41,130,90,7,3,3,0,0,33.8,98,337,1022,119,222,430,19,26
Metz,26.5,35.6,34,35,34.2,326,106,4,6,570,60,8816,11986,3132,3872,4173,5024,1317,2559,234,685,152,61,910,458,899,562,334,310,183,69,238,514,276,416,348,834,9,15895,2067,5771,7135,3258,451,15889,655,290,10009,422,96,507,267,8739,54,3,0,419,374,45,5,6,0,1574,390,534,58,188,130,6,6,6,0,0,53.1,215,682,727,128,299,583,47,22
Monaco,25.0,53.6,34,66,55.0,512,202,2,5,884,107,14825,18346,6362,7376,6547,7589,1414,2430,370,1364,365,46,1726,614,1713,664,412,259,314,91,322,686,364,418,394,582,14,22252,1983,5837,11000,5665,893,22247,593,301,16173,593,179,575,325,14692,79,8,4,481,400,73,5,6,2,1949,402,394,42,151,110,12,6,5,1,0,46.7,121,370,813,159,229,442,35,26
Montpellier,26.1,44.6,34,41,46.0,437,153,7,7,748,66,11198,14618,4428,5251,4815,5705,1503,2790,304,900,216,64,1174,553,1155,619,379,352,187,80,310,691,381,427,308,766,5,18599,2267,6560,8239,4047,672,18592,621,293,12397,489,166,561,291,11076,68,4,0,432,447,55,4,5,3,1784,426,449,48,171,125,10,5,4,1,0,47.7,168,497,851,163,292,527,32,13
Nantes,26.8,44.8,34,30,37.6,376,129,4,5,665,48,12180,15384,5084,5814,5410,6278,1273,2486,275,971,230,78,1243,569,1229,582,352,307,220,55,298,616,318,339,332,697,4,18988,2268,6241,8774,4159,639,18983,468,220,13293,438,141,520,254,12078,67,3,0,448,375,51,5,10,0,1621,387,424,55,156,101,8,10,9,0,1,55.2,175,515,965,175,259,505,41,33
Nice,25.8,52.4,34,39,49.9,452,149,6,7,791,69,15511,18379,7507,8293,6438,7248,1061,1950,326,899,255,68,1245,661,1226,538,308,247,212,79,285,505,220,389,292,505,10,22006,2245,7341,10584,4353,741,21999,752,371,16643,624,153,553,341,15354,62,4,0,402,373,52,7,8,1,1707,374,360,29,105,74,17,8,5,3,0,30.7,74,189,1025,158,208,376,32,21
Paris S-G,24.7,65.2,34,78,68.8,504,187,7,9,943,145,21536,24396,9423,10335,9980,10802,1507,2177,425,1763,365,53,1915,845,1901,585,360,254,221,110,283,602,319,346,268,509,22,27994,2331,7124,13880,7239,974,27985,815,401,22605,772,284,474,288,21336,51,3,1,353,362,53,9,5,0,1761,275,267,33,147,113,12,5,4,1,0,41.0,54,149,879,144,202,402,17,33
Reims,25.9,50.4,34,40,44.5,411,126,3,4,727,71,12995,16365,4942,5830,6140,7027,1553,2684,318,1098,241,76,1425,625,1410,640,392,303,246,91,320,639,319,398,342,671,10,20300,2235,6510,9331,4713,700,20296,660,329,14199,477,157,577,299,12862,70,3,2,444,324,84,4,7,1,1825,395,390,47,137,90,8,7,6,1,0,42.7,124,353,1050,179,242,522,38,46
Rennes,25.2,52.1,34,53,53.1,476,157,10,11,864,94,14481,17580,5645,6490,6806,7723,1575,2513,351,1257,311,61,1639,606,1625,526,311,261,190,75,280,525,245,371,328,618,10,21300,2090,6252,9861,5426,794,21289,689,351,15567,634,144,500,334,14324,66,4,0,424,438,36,10,3,3,1669,386,424,46,147,104,7,3,3,0,0,38.2,134,416,1001,149,208,451,36,37
Strasbourg,24.1,44.3,34,36,41.9,363,119,3,4,638,61,12021,15031,4556,5286,5863,6761,1315,2383,280,903,218,67,1152,548,1142,620,383,317,240,63,308,572,264,406,347,682,13,18797,2315,6649,8525,3874,559,18793,639,318,13154,514,108,489,313,11914,59,2,1,462,413,35,4,5,3,1568,374,413,50,125,77,5,5,4,1,0,37.9,144,409,860,125,259,460,25,40
Toulouse,23.8,48.4,34,42,40.3,395,128,6,9,694,76,13014,16304,5571,6480,5860,6824,1239,2195,301,1057,259,60,1405,549,1395,612,358,295,241,76,294,626,332,431,294,715,6,20087,2092,6116,9591,4602,735,20078,592,289,13929,474,153,501,267,12883,77,1,1,501,448,50,9,4,0,1759,472,421,46,139,93,6,4,4,0,0,45.3,92,285,643,93,252,490,7,16
Arsenal,25.0,58.2,38,86,76.1,647,209,10,10,1185,152,19094,22558,9719,10643,7809,8765,1178,2162,513,1546,548,68,2106,821,2088,610,348,257,246,107,271,543,272,412,292,515,18,26493,1974,6714,11407,8560,1480,26483,671,283,16297,575,327,525,375,18917,64,2,1,391,394,87,9,3,1,1752,503,499,29,83,54,18,3,2,1,0,24.1,157,441,1058,189,195,375,48,59
Aston Villa,26.9,53.1,38,72,63.3,511,182,4,4,912,129,16133,19363,7110,7878,7381,8273,1330,2368,398,1160,363,67,1451,775,1438,547,311,269,210,68,260,550,290,389,236,597,13,23059,2807,8171,9636,5459,1010,23055,757,345,14451,490,217,477,416,15824,94,2,0,412,473,47,4,2,4,1619,334,363,61,173,115,8,2,1,1,0,61.7,136,380,1386,176,246,419,51,70
Bournemouth,25.7,44.4,38,52,55.9,539,175,2,3,952,83,11899,15920,4976,5868,5270,6214,1393,2964,414,1074,352,88,1314,709,1296,693,410,301,281,111,325,688,363,504,357,817,16,20700,2486,6820,8469,5686,1033,20697,872,382,11015,513,240,637,386,11771,79,3,0,507,376,56,3,7,1,2013,582,671,67,194,127,9,7,6,1,0,63.2,199,581,976,177,266,492,31,37
Brentford,26.6,45.2,38,54,58.2,470,159,3,3,804,81,12551,16818,5616,6628,5236,6432,1382,2776,332,965,333,106,1283,505,1276,677,399,349,250,78,317,697,380,474,378,903,18,21227,2878,7944,8253,5210,982,21224,577,243,10970,363,156,556,271,12416,89,2,0,385,419,70,3,2,0,1892,632,607,65,184,119,7,2,2,0,0,57.0,254,677,1330,136,318,605,46,38
Brighton,25.9,59.8,38,50,56.8,555,198,5,6,1010,89,21810,25029,11574,12473,8261,9125,1296,2164,429,1484,384,81,1780,864,1767,644,366,292,252,100,307,658,351,437,288,603,21,29112,3197,9449,13090,6766,1081,29106,715,297,19020,584,269,579,342,21577,90,3,0,414,454,84,6,6,2,1751,406,345,62,165,105,6,6,6,0,0,51.1,102,274,1278,186,254,405,24,72
Burnley,24.5,47.4,38,40,40.6,430,137,3,3,757,74,13937,17959,6311,7267,6017,7042,1324,2755,326,976,216,54,1181,727,1162,607,342,282,247,78,284,584,300,477,280,837,22,22181,2907,8021,9196,5155,819,22178,699,300,12244,460,240,517,296,13779,77,7,3,429,353,76,3,7,3,1727,561,696,78,244,168,2,7,6,1,0,75.8,215,825,1826,216,284,562,50,74
Chelsea,24.2,58.6,38,76,74.5,537,194,11,12,980,133,20039,23364,10006,10877,8176,9060,1365,2328,419,1351,352,51,1615,873,1600,663,376,325,235,103,323,630,307,448,298,785,24,27725,3035,9367,12068,6558,1039,27713,869,398,16624,543,291,604,370,19899,109,4,2,446,451,85,11,5,3,1846,440,402,63,186,125,8,5,3,1,1,52.5,128,361,1129,184,282,514,39,47
Crystal Palace,26.7,42.3,38,56,48.6,452,162,4,4,794,103,12915,16754,6040,6920,5338,6287,1204,2608,353,995,273,60,1176,506,1161,788,464,373,301,114,337,609,272,456,323,927,6,21367,2349,7237,9279,5077,797,21363,737,341,10943,383,170,606,426,12811,73,2,2,457,427,72,4,3,2,1909,553,555,58,154,98,10,3,3,0,0,47.5,176,605,826,115,255,586,30,29
Everton,27.1,40.8,38,40,54.0,504,152,2,3,854,60,11349,15514,5198,6091,4386,5405,1469,3057,339,958,284,77,1129,495,1119,743,442,371,261,111,347,701,354,479,358,882,12,20053,2568,6792,8180,5283,809,20050,564,250,9770,389,127,560,320,11254,82,1,1,457,361,89,2,8,3,1970,676,577,51,165,117,13,8,8,0,0,52.4,360,901,1296,141,274,570,30,54
Fulham,28.4,50.6,38,54,50.8,499,175,2,2,877,95,16311,20237,7028,7907,7277,8347,1586,2853,379,1117,355,94,1467,670,1452,679,384,339,260,80,346,678,332,437,371,744,14,24318,2792,8619,10359,5568,849,24316,550,271,13883,508,151,520,325,16183,84,4,3,384,364,51,2,8,4,1837,487,509,61,190,133,10,8,8,0,0,55.7,144,439,1272,167,301,472,19,40
Liverpool,26.3,61.3,38,80,87.8,781,263,6,9,1388,131,20376,24379,9656,10641,8627,9763,1637,2814,598,1666,506,80,2110,924,2091,677,418,274,290,113,341,768,427,475,292,583,19,28764,2193,7390,13756,7869,1422,28755,737,331,17894,694,295,574,407,20230,69,5,2,463,376,100,8,1,2,2034,583,441,41,147,108,10,1,1,0,0,40.0,92,285,1348,192,228,376,18,46
Luton Town,26.7,42.4,38,49,42.4,427,134,5,5,749,81,11048,15099,4969,5784,4443,5431,1289,2879,315,835,250,90,1113,675,1094,654,368,330,236,88,299,616,317,493,325,916,21,19655,2630,7028,7905,4964,780,19650,771,354,10069,480,169,580,385,10911,71,0,0,443,448,67,2,4,4,1868,635,631,85,223,142,2,4,4,0,0,77.7,274,814,1122,151,349,561,16,77
Manchester City,26.6,65.2,38,94,80.5,683,264,9,10,1259,169,24616,27758,12895,13721,9449,10306,1652,2498,545,1890,484,65,2060,1127,2032,517,305,183,221,113,222,458,236,353,233,457,17,31414,2162,7012,14348,10260,1466,31404,731,377,20210,867,415,441,356,24343,53,2,1,289,410,42,8,3,1,1734,325,288,34,109,76,13,3,3,0,0,36.2,142,314,1342,161,158,312,31,63
Manchester Utd,26.1,50.6,38,57,56.5,543,182,6,7,989,98,15785,19538,7892,8866,5965,6943,1355,2517,434,1202,338,50,1479,758,1468,676,409,334,240,102,349,715,366,534,313,884,12,23998,2938,8197,9856,6146,1025,23991,697,311,13979,523,274,484,342,15597,83,1,1,401,340,91,6,7,1,1851,436,450,58,203,146,9,7,7,0,0,59.7,149,513,1184,140,329,601,42,37
Newcastle Utd,27.2,52.2,38,83,76.0,542,196,8,9,983,144,16117,19852,7681,8623,6722,7757,1358,2504,424,1107,380,76,1557,737,1545,661,391,316,254,91,302,681,379,497,285,682,16,24004,2447,8084,10144,6004,1094,23996,730,355,13650,507,243,506,400,15994,79,1,1,386,469,59,9,5,1,1836,453,418,62,195,133,10,5,4,1,0,61.1,100,301,803,236,281,449,30,53
Nott'ham Forest,25.7,40.6,38,49,49.9,450,143,1,1,783,90,11877,15679,5510,6417,4760,5855,1265,2493,325,905,244,61,1141,601,1123,728,430,437,219,72,326,609,283,489,331,968,13,20126,2493,7339,8320,4686,785,20125,604,275,10217,394,155,527,286,11784,82,3,2,428,371,77,1,4,2,1807,584,557,67,163,98,4,4,4,0,0,47.0,229,519,818,171,304,610,44,24
Sheffield Utd,25.7,35.8,38,31,38.3,360,117,5,5,601,48,9531,13509,4492,5357,3739,4696,1042,2626,257,701,198,48,884,346,875,709,405,375,248,86,299,635,336,514,348,1042,18,17951,2817,7156,7145,3830,646,17946,581,251,8332,287,128,489,322,9458,101,5,3,423,318,64,3,7,7,1637,586,694,104,263,166,1,7,5,0,2,85.1,270,817,989,126,352,661,39,56
Tottenham,25.2,61.6,38,69,68.2,582,207,2,2,1053,122,20649,24197,10630,11617,8361,9345,1089,1905,460,1588,454,65,2107,957,2097,724,451,335,264,125,360,691,331,445,355,707,24,28529,2791,8520,12260,8010,1316,28527,812,359,18087,634,349,559,375,20484,92,4,2,425,510,83,2,7,3,1907,359,388,61,167,109,7,7,7,0,0,60.0,53,225,1308,193,256,511,33,81
West Ham,28.3,41.1,38,58,52.3,445,146,4,5,782,104,12568,16373,6043,6856,4817,5751,1330,2718,305,979,225,71,1207,556,1192,684,426,350,254,80,307,607,300,487,361,906,9,20875,2605,7301,9100,4692,750,20869,745,353,11184,369,168,515,397,12459,82,3,3,390,392,71,4,10,4,1817,576,570,74,241,169,5,10,8,2,0,72.0,210,553,793,188,307,582,35,8
Wolves,26.6,48.9,38,47,46.7,425,153,4,4,743,81,15484,19175,7694,8577,6100,7016,1218,2527,316,910,239,61,1180,671,1163,739,430,415,247,77,312,607,295,506,284,828,16,23487,2823,8674,10264,4804,739,23483,823,415,13055,519,168,536,389,15352,102,4,2,476,405,78,4,8,1,1885,441,491,65,203,139,5,8,8,0,0,71.7,100,480,933,199,305,572,45,31
Alavés,25.6,41.8,38,33,46.2,458,136,3,7,817,60,10091,14116,4443,5283,4011,5052,1375,2889,341,937,273,105,1260,550,1252,578,347,284,227,67,290,629,339,363,279,810,5,18179,2162,6122,7564,4706,764,18172,625,310,8574,364,138,572,299,9972,84,1,0,481,449,69,7,8,2,1807,574,625,46,147,103,11,8,8,0,0,44.8,315,778,886,125,335,530,29,37
Almería,25.6,46.4,38,42,48.7,478,163,2,2,823,70,12774,16540,5654,6480,5476,6405,1322,2747,349,870,212,86,1097,590,1082,633,372,354,222,57,280,582,302,430,313,856,19,20902,2654,7711,9323,4094,614,20900,667,299,11128,424,132,550,269,12660,93,6,4,478,493,75,2,9,0,1716,557,587,75,202,126,6,9,6,1,2,70.3,181,615,1115,180,330,629,29,47
Athletic Club,27.3,49.8,38,59,52.7,458,163,3,5,817,103,14509,18724,6598,7600,6186,7288,1393,2832,355,1205,343,113,1610,735,1596,581,362,217,264,100,305,635,330,419,278,631,4,22845,1965,6376,10617,6083,901,22839,743,338,12487,528,193,571,366,14367,80,5,3,511,428,78,4,5,4,2010,541,525,37,134,98,18,5,1,3,1,40.4,238,728,1050,164,272,491,33,49
