Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
João Ricardo Riedi,BRA,Goalkeeper,Fortaleza,,1988,38,38,3420,39,195,156,13,5,5,0,0,52.5,194,511,682,150,299,645,44,13,0,13.5
João Valido,POR,Goalkeeper,Arouca,,2000,1,1,90,0,1,1,1,0,0,0,0,0.1,3,4,31,9,8,11,0,6,0,0.1
Juan Cozzani,ARG,Goalkeeper,Platense,,1998,26,26,2339,18,86,68,13,2,1,0,1,21.1,193,543,493,35,201,347,24,30,1,3.1000000000000014
Juan Espínola,PAR,Goalkeeper,Belgrano,,1994,15,15,1324,15,65,50,4,0,0,0,0,16.1,79,245,358,37,122,321,33,12,0,1.1000000000000014
Julio José González,MEX,Goalkeeper,UNAM,,1991,34,34,3060,40,137,97,12,10,8,2,0,39.1,198,466,759,159,308,469,38,53,2,-0.8999999999999986
Justin Bijlow,NED,Goalkeeper,Feyenoord,,1998,17,17,1462,14,41,27,6,0,0,0,0,13.7,57,138,656,64,52,142,19,50,0,-0.3000000000000007
Karl Darlow,WAL,Goalkeeper,Leeds United,,1990,2,1,126,3,5,2,0,0,0,0,0,1.8,5,11,51,6,8,24,0,0,0,-1.2
Kasper Schmeichel,DEN,Goalkeeper,Anderlecht,,1986,23,23,2070,23,110,86,5,2,1,1,0,31.3,120,268,743,94,140,344,14,12,1,8.3
Kayne van Oevelen,NED,Goalkeeper,Volendam,,2003,1,1,89,2,10,8,0,0,0,0,0,2.8,5,14,41,9,3,11,1,2,0,0.7999999999999998
Kevin Mier,COL,Goalkeeper,Cruz Azul,,2000,17,17,1530,14,44,30,8,3,1,0,2,13.7,53,132,597,67,120,177,10,34,2,-0.3000000000000007
Kewin,BRA,Goalkeeper,Moreirense,,1995,30,30,2686,34,119,86,13,1,1,0,0,32.3,188,466,867,127,260,489,35,18,0,-1.7000000000000028
Kosuke Nakamura,JPN,Goalkeeper,Portimonense,,1995,20,20,1800,38,95,59,2,3,2,0,1,38.6,94,267,380,82,187,343,17,19,1,0.6000000000000014
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,,1992,34,34,3060,37,154,116,12,1,0,1,0,47.5,129,351,954,167,226,512,35,59,1,10.5
Kristoffer Klaesson,NOR,Goalkeeper,Leeds United,,2000,1,1,90,0,1,1,1,0,0,0,0,0.0,3,10,24,3,7,5,0,0,0,0.0
Lars Unnerstall,GER,Goalkeeper,Twente,,1990,32,32,2880,34,123,89,10,6,5,1,0,40.1,128,426,932,156,197,359,20,54,1,6.100000000000001
