Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Fernando Muslera,URU,Galatasaray,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,37,720,4.62,2.38,2.25,2.26,-0.11,0.0,5.75,15.12,37.5,4.88,1184.81,6.62,282.45,11.0,0.62,4.5,103.22,1,48.7,38.03,5.64
Filip Jørgensen,DEN,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,22,3330,5.59,1.73,3.89,1.65,-0.08,0.16,3.95,9.78,29.03,4.95,856.88,6.84,254.86,17.81,0.92,1.05,20.33,1,69.59,40.39,5.17
Filip Marshall,ENG,Aston Villa,UEFA Europa Conference League,GK,Goalkeeper,20,90,1.0,1.0,0.0,0.6,-0.4,0.0,1.0,4.0,26.0,5.0,650.0,6.0,100.2,11.0,0.0,6.0,127.8,1,0.0,25.0,0.0
Filip Samurović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,20,90,6.0,3.0,3.0,1.6,-1.4,0.0,5.0,15.0,19.0,3.0,834.1,15.0,468.0,18.0,2.0,0.0,0.0,1,50.0,33.33,11.11
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,26,2790,5.1,1.68,3.42,1.58,-0.09,0.1,5.45,14.52,37.13,2.97,1201.84,6.03,267.6,15.61,0.9,1.61,30.86,1,67.06,37.53,5.77
Fran Vieites,ESP,Betis,Spanish La Liga,GK,Goalkeeper,25,315,5.14,1.14,4.0,1.31,0.17,0.57,3.71,14.29,23.43,5.14,856.2,10.0,464.34,18.57,0.86,0.57,7.31,1,77.82,25.96,4.63
Francesco Rossi,ITA,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,33,12,7.5,0.0,7.5,6.0,6.0,15.0,15.0,37.5,22.5,15.0,615.0,30.0,1920.0,45.0,0.0,0.0,0.0,1,100.0,40.0,0.0
Franco Israel,URU,Sporting CP,UEFA Europa League,GK,Goalkeeper,23,360,3.0,1.0,2.0,1.15,0.15,0.25,4.0,12.0,35.75,4.5,992.62,5.75,288.27,17.5,1.5,0.75,13.52,1,66.67,33.33,8.57
Frederik Rønnow,DEN,Union Berlin,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,31,3510,4.9,1.69,3.15,1.59,-0.1,0.18,5.85,15.74,32.05,5.26,1086.96,6.72,314.15,16.79,1.56,0.97,16.15,1,64.29,37.17,9.29
Gauthier Gallon,FRA,Rennes,UEFA Europa League,GK,Goalkeeper,30,90,2.0,1.0,1.0,0.9,-0.1,0.0,8.0,22.0,33.0,0.0,1155.0,12.0,717.6,15.0,0.0,3.0,84.0,1,50.0,36.36,0.0
Gianluigi Donnarumma,ITA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,25,3249,4.49,0.97,3.49,1.26,0.29,0.36,1.86,4.6,25.6,4.38,639.55,5.6,140.44,11.14,0.47,1.14,22.02,1,77.73,40.43,4.22
Giorgi Mamardashvili,GEO,Valencia,Spanish La Liga,GK,Goalkeeper,23,3284,3.97,1.12,2.82,1.35,0.23,0.36,5.07,18.39,23.68,3.89,980.73,6.71,358.81,14.52,1.23,0.85,14.6,1,71.03,27.57,8.47
Giorgos Athanasiadis,GRE,AEK Athens,UEFA Europa League,GK,Goalkeeper,30,212,7.64,2.97,4.67,3.82,0.85,0.0,3.82,6.79,22.5,6.37,601.0,7.64,210.95,10.19,0.42,3.82,72.13,1,61.13,56.26,4.12
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,26,3445,4.52,1.15,3.37,1.37,0.22,0.34,4.44,10.69,36.24,3.76,1042.28,6.43,253.77,14.29,0.34,0.47,8.09,1,74.56,41.53,2.38
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,24,181,1.99,0.0,1.99,0.1,0.1,1.49,5.97,17.9,34.81,4.97,1295.06,4.97,275.67,11.93,0.0,0.99,22.87,1,100.0,33.35,0.0
Guglielmo Vicario,ITA,Tottenham,English Premier League,GK,Goalkeeper,27,3420,4.39,1.61,2.87,1.58,-0.03,0.18,1.39,5.92,35.87,5.08,862.35,5.29,117.32,13.45,0.87,2.13,45.35,1,65.38,23.48,6.47
Guillaume Dietsch,FRA,Metz,French Ligue 1,GK,Goalkeeper,22,73,3.7,1.23,2.47,0.99,-0.25,0.0,7.4,19.73,23.42,3.7,852.66,8.63,543.7,17.26,1.23,0.0,0.0,1,66.76,37.51,7.13
Guillaume Restes,FRA,Toulouse,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,19,3780,4.02,1.36,2.69,1.31,-0.05,0.21,3.12,9.48,21.45,2.88,646.4,6.24,256.86,14.71,0.24,0.43,7.08,1,66.92,32.91,1.63
