Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Niklas Lomb,GER,Leverkusen,UEFA Europa League,GK,Goalkeeper,30,90,8,81,13,6,26,14,10,1,16,41,3,2,1,3,6,6,6,1,46,96,6
Nikola Simić,SRB,TSC,UEFA Europa League,GK,Goalkeeper,26,90,94,6,93,94,18,14,62,71,33,41,71,74,30,95,70,6,6,1,30,29,42
Nils Jonatan Johansson,SWE,KÍ,UEFA Europa Conference League,GK,Goalkeeper,32,540,64,51,71,76,89,75,78,83,33,83,55,93,90,93,44,34,35,1,63,30,27
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,21,3960,47,43,40,52,35,72,75,74,83,57,81,57,69,51,56,40,43,1,31,44,56
Nordin Jackers,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,26,360,32,65,39,22,34,89,85,71,91,34,85,35,54,48,18,23,22,1,56,91,18
Odysseas Vlachodimos,GRE,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,450,46,14,13,63,6,48,73,42,33,48,17,83,78,91,39,19,16,1,6,93,25
Oleksandr Saputin,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,20,89,2,97,6,2,62,14,85,64,2,4,15,91,92,15,75,6,6,1,98,93,88
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,33,3060,86,29,88,83,72,29,78,68,73,66,73,64,67,79,61,91,89,1,51,70,52
Oliver Christensen,DEN,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,25,720,24,43,16,18,10,33,71,67,77,20,77,32,44,14,49,88,86,1,16,50,70
Oliver Petersen,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,770,52,35,46,48,20,56,18,29,43,54,22,71,46,62,63,48,43,1,37,17,60
Olivier Giroud,FRA,Milan,Italian Serie A,GK,Goalkeeper,37,1,0,97,2,1,62,99,100,99,100,2,100,0,0,99,6,6,6,1,0,99,6
Omri Glazer,ISR,Red Star,UEFA Champions League,GK,Goalkeeper,27,540,93,12,94,93,68,14,62,29,6,10,11,83,62,56,15,41,34,1,57,95,13
Orlando Mosquera,PAN,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,28,360,86,65,93,82,97,14,71,76,85,71,84,42,37,41,96,77,58,1,92,33,96
Pau López,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,4108,36,61,41,31,41,52,32,41,70,25,63,18,31,36,37,36,36,1,54,24,40
Paul Nardi,FRA,Gent,UEFA Europa Conference League,GK,Goalkeeper,29,159,30,74,44,11,28,14,31,53,20,55,27,24,39,5,6,6,6,1,70,14,6
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,32,3420,47,67,58,44,79,72,46,35,58,61,39,50,60,58,77,44,42,1,73,59,70
Pavao Pervan,AUT,Wolfsburg,German Bundesliga,GK,Goalkeeper,36,810,32,31,18,38,10,52,51,39,52,50,52,13,20,58,13,17,19,1,15,67,12
Pepe Reina,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,41,810,28,55,26,48,49,52,22,21,68,75,49,25,25,61,36,17,20,1,32,31,31
Peter Abrahamsson,SWE,Häcken,UEFA Europa League,GK,Goalkeeper,35,540,76,8,44,88,9,14,26,10,14,71,6,74,23,10,15,83,91,1,7,90,17
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa League,GK,Goalkeeper,26,900,77,17,71,65,11,48,65,68,87,71,79,65,69,22,33,69,74,1,26,35,38
Philipp Köhn,SUI,Monaco,French Ligue 1,GK,Goalkeeper,25,1980,47,54,48,52,62,56,37,37,23,46,18,39,50,42,70,44,37,1,48,36,71
Pierluigi Gollini,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,630,16,73,21,29,66,37,41,26,62,41,39,67,55,29,46,68,64,1,48,71,55
Pietro Terracciano,ITA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,34,3780,19,77,27,29,73,64,57,33,63,33,58,26,30,8,22,31,37,1,59,87,30
Predrag Rajković,SRB,Mallorca,Spanish La Liga,GK,Goalkeeper,28,3240,26,69,34,29,54,60,93,90,37,20,78,79,86,55,62,39,42,1,57,77,61
Péter Gulácsi,HUN,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,34,1440,11,90,26,9,71,71,5,4,46,47,12,66,44,43,27,56,58,1,88,14,26
Radosław Majecki,POL,Monaco,French Ligue 1,GK,Goalkeeper,24,1080,50,88,77,34,90,92,28,29,24,84,20,53,40,48,77,28,22,1,94,33,75
Raffaele Di Gennaro,ITA,Inter,Italian Serie A,GK,Goalkeeper,30,23,98,97,99,82,99,97,42,14,98,99,94,9,2,77,6,6,6,1,98,96,6
Raúl Fernández,ESP,Granada,Spanish La Liga,GK,Goalkeeper,35,280,72,3,19,93,4,14,53,63,42,19,56,30,68,28,86,98,96,1,5,24,92
Remi Matthews,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,29,4,99,1,2,90,0,14,1,100,99,2,99,98,98,96,100,6,6,1,1,1,100
Robert Sánchez,ESP,Chelsea,English Premier League,GK,Goalkeeper,26,1433,61,48,61,59,54,46,40,20,68,82,41,34,29,40,82,84,76,1,47,80,85
Robin Olsen,SWE,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,34,585,88,8,73,88,10,14,31,24,90,65,67,45,35,11,62,13,14,1,13,47,87
Robin Zentner,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,29,2700,43,46,38,66,69,56,77,75,50,66,72,39,54,46,91,80,79,1,33,48,91
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,31,360,78,9,50,84,8,14,22,65,37,78,52,82,63,91,33,15,15,1,12,6,21
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,19,90,64,23,50,69,26,14,94,87,73,4,85,2,2,3,6,6,6,1,23,84,6
Rubén Blanco,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,212,16,63,16,16,26,14,31,21,64,23,29,39,36,41,95,66,73,1,30,55,95
Rui Patrício,POR,Roma,Italian Serie A,GK,Goalkeeper,35,2070,13,71,17,21,39,64,42,19,7,33,8,40,35,49,45,18,19,1,42,82,46
Rui Silva,POR,Betis,"Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,30,3015,30,63,39,39,62,70,50,48,42,45,38,56,57,40,76,67,69,1,55,43,77
Rémy Descamps,FRA,Nantes,French Ligue 1,GK,Goalkeeper,27,540,85,31,88,87,87,41,92,87,18,60,49,94,94,93,88,6,6,1,64,78,63
Rémy Riou,FRA,Lyon,French Ligue 1,GK,Goalkeeper,36,270,56,23,36,61,16,75,8,16,40,50,12,68,62,20,70,51,35,1,17,8,84
Sam Johnstone,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,30,1796,15,59,15,18,21,70,76,78,14,17,46,61,76,84,82,29,26,1,25,36,65
Samuele Perisan,ITA,Empoli,Italian Serie A,GK,Goalkeeper,26,90,64,23,50,6,3,14,3,16,10,97,3,95,71,90,6,51,61,1,23,3,6
Senne Lammens,BEL,Antwerp,UEFA Champions League,GK,Goalkeeper,21,90,83,23,83,80,45,14,77,96,95,41,96,95,96,79,70,6,6,1,46,5,57
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,30,2869,38,53,34,51,45,65,93,86,60,17,82,58,71,66,61,72,73,1,35,85,56
Sergio Padt,NED,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,33,450,46,33,42,60,30,81,66,66,45,23,47,91,85,71,16,80,89,1,35,42,14
Shareef Keouf,ISR,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,810,64,60,75,41,57,75,80,78,33,36,61,88,83,97,60,34,24,1,78,52,30
Simon Mignolet,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,36,720,5,93,10,4,77,89,58,32,68,41,47,32,34,27,70,73,81,1,89,89,81
Simon Sluga,CRO,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,30,270,14,81,23,13,45,93,29,37,29,80,22,53,75,10,44,34,41,1,63,23,68
Simone Aresti,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,38,1,100,0,2,100,62,14,1,99,99,2,99,0,0,99,6,6,6,1,1,1,6
Simone Perilli,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,90,96,23,98,95,96,14,90,94,66,6,95,22,64,1,6,88,84,1,92,21,6
Simone Scuffet,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,27,2789,39,34,27,54,23,31,66,59,11,24,25,70,73,75,46,31,30,1,20,52,39
Stefan Ortega,GER,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,31,905,37,56,41,43,51,81,52,32,91,47,71,6,11,6,39,90,90,1,53,82,67
Stefano Turati,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,22,2745,62,30,54,61,22,36,13,31,59,66,37,19,27,52,38,30,33,1,28,10,37
