Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Odysseas Vlachodimos,Sevilla,Spanish La Liga,GK,Goalkeeper,GRE,31,450,30.0,7.0,23.0,8.9,1.9,1,30.0,71,148.0,27.0,5119.4,29.0,1302.2,67,2.0,4.0,48.5
Okan Kocuk,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,TUR,30,180,2.0,0.0,2.0,0.8,0.8,2,10.0,29,51.0,11.0,1594.9,16.0,881.3,38,3.0,0.0,0.0
Oliver Baumann,Hoffenheim,German Bundesliga,GK,Goalkeeper,GER,35,630,31.0,12.0,19.0,10.6,-1.4,1,33.0,91,211.0,19.0,7174.4,28.0,1107.1,109,4.0,25.0,506.4
Oliver Christensen,Sturm Graz,UEFA Europa League,GK,Goalkeeper,DEN,26,180,15.0,3.0,13.0,3.4,0.4,0,7.0,24,47.0,8.0,1780.3,7.0,324.0,34,0.0,2.0,31.6
Pablo Cuñat,Levante,Spanish La Liga,GK,Goalkeeper,ESP,23,180,14.0,5.0,10.0,4.7,-0.3,0,11.0,37,45.0,14.0,1878.9,26.0,1250.8,46,2.0,1.0,9.9
Pau López,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,30,630,27.0,7.0,19.0,7.4,0.4,2,26.0,75,179.0,28.0,5713.2,46.0,2228.4,105,4.0,5.0,110.9
Paulo Gazzaniga,Girona,Spanish La Liga,GK,Goalkeeper,ARG,33,672,44.0,13.0,31.0,15.3,2.3,1,24.0,109,232.0,36.0,7963.9,41.0,2158.6,126,3.0,9.0,173.0
Pavlo Isenko,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,UKR,22,180,14.0,3.0,11.0,2.6,-0.4,0,7.0,16,48.0,5.0,1470.6,18.0,411.8,35,0.0,2.0,40.6
Peter Vindahl Jensen,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,DEN,27,90,1.0,1.0,0.0,0.5,-0.5,0,3.0,3,44.0,2.0,1086.8,1.0,18.0,6,0.0,1.0,13.6
Philipp Köhn,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,SUI,27,732,37.0,15.0,23.0,13.2,-1.8,2,19.0,40,172.0,37.0,4614.7,38.0,1001.5,98,9.0,12.0,196.6
Pietro Terracciano,Milan,Italian Serie A,GK,Goalkeeper,ITA,35,125,4.0,0.0,4.0,0.2,0.2,2,7.0,9,30.0,5.0,919.2,6.0,260.0,19,1.0,0.0,0.0
Péter Gulácsi,RB Leipzig,German Bundesliga,GK,Goalkeeper,HUN,35,630,25.0,9.0,16.0,8.7,-0.3,3,20.0,73,232.0,28.0,6759.1,36.0,1712.0,115,6.0,9.0,160.7
Radosław Majecki,Brest,French Ligue 1,GK,Goalkeeper,POL,25,504,21.0,8.0,13.0,6.3,-3.0,2,40.0,99,154.0,20.0,6021.6,36.0,2099.4,87,7.0,2.0,32.8
Razvan Sava,Udinese,Italian Serie A,GK,Goalkeeper,ROU,23,540,21.0,9.0,12.0,6.9,-2.1,1,14.0,48,141.0,20.0,4172.9,31.0,1153.6,71,1.0,6.0,129.8
Remko Pasveer,Ajax,UEFA Champions League,GK,Goalkeeper,NED,41,90,10.0,5.0,5.0,3.4,-1.6,0,6.0,27,51.0,9.0,2055.3,7.0,399.7,17,1.0,0.0,0.0
Robert Sánchez,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,27,814,29.0,10.0,20.0,9.6,-0.6,4,38.0,141,339.0,43.0,11607.3,39.0,2114.5,104,13.0,4.0,51.5
Robin Olsen,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,35,180,14.0,5.0,9.0,4.3,-0.7,0,9.0,22,42.0,6.0,1672.2,12.0,417.2,26,0.0,0.0,0.0
Robin Risser,Lens,French Ligue 1,GK,Goalkeeper,FRA,20,720,27.0,7.0,20.0,7.6,0.6,2,33.0,88,207.0,25.0,6946.0,47.0,1981.9,107,5.0,6.0,132.6
Robin Roefs,Sunderland,English Premier League,GK,Goalkeeper,NED,22,720,32.0,6.0,25.0,8.8,2.8,4,39.0,142,259.0,23.0,9348.6,49.0,3209.9,138,12.0,11.0,206.2
Robin Zentner,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,30,606,19.0,6.0,13.0,4.9,-1.1,2,36.0,121,198.0,18.0,7971.0,44.0,2307.2,76,8.0,10.0,175.3
Roei Mashpati,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,ISR,32,270,13.0,6.0,7.0,4.5,-1.5,1,8.0,17,117.0,11.0,2702.7,2.0,63.0,37,2.0,1.0,11.0
Rome-Jayden Owusu-Oduro,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,NED,21,180,11.0,4.0,7.0,4.4,0.4,1,13.0,32,40.0,4.0,1547.8,12.0,835.4,31,1.0,1.0,14.3
Rui Silva,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,31,180,6.0,3.0,3.0,1.8,-1.2,0,4.0,13,58.0,9.0,1502.2,6.0,149.0,15,2.0,3.0,51.9
Ruslan Neshcheret,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,180,12.0,5.0,7.0,3.6,-1.4,0,9.0,22,68.0,8.0,2095.2,11.0,532.2,21,1.0,2.0,28.4
Rémy Descamps,Lyon,French Ligue 1,GK,Goalkeeper,FRA,29,360,12.0,3.0,10.0,4.9,1.9,3,5.0,27,112.0,15.0,3177.3,13.0,503.0,59,2.0,3.0,47.2
Sam Johnstone,Wolves,English Premier League,GK,Goalkeeper,ENG,32,360,15.0,5.0,11.0,4.9,-0.1,0,36.0,105,150.0,25.0,6092.9,32.0,1657.6,89,4.0,6.0,94.8
Senne Lammens,Manchester Utd,English Premier League,GK,Goalkeeper,BEL,23,180,9.0,1.0,8.0,3.2,2.2,1,18.0,80,68.0,3.0,3679.6,25.0,1695.3,43,4.0,3.0,50.4
Sergio Herrera,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,32,810,45.0,9.0,36.0,13.0,4.0,2,60.0,133,220.0,47.0,7571.9,85.0,3772.4,141,6.0,18.0,379.2
Sergio Padt,Ludogorets,UEFA Europa League,GK,Goalkeeper,NED,35,180,7.0,3.0,5.0,1.6,-1.4,0,7.0,24,71.0,6.0,2246.2,5.0,129.9,27,3.0,3.0,44.9
Sherhan Kalmurza,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,18,180,20.0,9.0,10.0,7.9,-1.1,0,9.0,28,41.0,10.0,1428.6,21.0,1020.1,24,2.0,2.0,30.0
Simon Mignolet,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,37,18,1.0,0.0,0.0,0.7,0.0,0,3.0,5,0.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0
Stefan Târnovanu,FCSB,UEFA Europa League,GK,Goalkeeper,ROU,25,270,23.0,4.0,19.0,5.1,1.1,1,23.0,54,73.0,16.0,2761.3,26.0,1445.3,54,2.0,1.0,12.3
