Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Christian Zawieschitzky,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,18,90,1,39,25
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,33,990,1,57,58
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,1440,1,38,56
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,1170,1,52,54
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,35,1260,1,64,54
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,1350,1,77,43
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,990,1,61,84
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,270,1,18,41
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,360,1,24,58
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,180,1,67,12
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,1170,1,61,52
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,360,1,15,40
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,270,1,54,53
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,33,944,1,63,44
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,34,360,1,25,74
Ed McGinty,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,26,270,1,72,26
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,360,1,51,78
Edoardo Corvi,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,90,1,19,54
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,1080,1,70,53
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,360,1,53,76
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,720,1,49,53
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1080,1,51,59
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,270,1,71,80
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,90,1,9,9
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,270,1,42,27
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,26,180,1,46,69
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,173,1,14,10
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,990,1,41,57
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,27,180,1,76,61
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,630,1,25,64
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,990,1,68,50
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1260,1,70,63
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,1170,1,66,28
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,665,1,20,48
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,180,1,67,71
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,27,1350,1,46,33
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,302,1,43,68
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,1440,1,77,57
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1170,1,51,48
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,90,1,68,67
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,360,1,66,60
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,270,1,43,44
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1170,1,80,44
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1440,1,40,35
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,1,18,55
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1080,1,75,46
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,90,1,46,28
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,630,1,76,40
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,360,1,42,88
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,1,87,68
James Trafford,ENG,Manchester City,English Premier League,GK,Goalkeeper,22,270,1,88,36
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,270,1,57,40
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,1440,1,45,63
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,360,1,71,28
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,24,180,1,36,61
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,990,1,58,79
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,1,56,14
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,180,1,66,77
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,180,1,86,36
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,720,1,83,58
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,270,1,62,86
John,BRA,Nott'ham Forest,UEFA Europa League,GK,Goalkeeper,29,90,1,81,37
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,90,1,32,47
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1094,1,60,56
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,990,1,70,68
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,1,67,30
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,360,1,11,64
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,1,30,19
Juan Musso,ARG,Atlético Madrid,Spanish La Liga,GK,Goalkeeper,31,90,1,35,20
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,24,1170,1,36,48
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,270,1,11,45
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,1,17,60
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,990,1,63,48
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,1,22,65
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,1,76,90
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,1,50,30
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,270,1,84,62
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,39,360,1,34,38
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,450,1,26,32
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,270,1,77,36
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,90,1,23,56
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,360,1,32,25
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,22,270,1,13,33
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,1,5,42
Lasse Rieß,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,24,202,1,21,32
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,900,1,70,57
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,1080,1,25,51
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,270,1,46,73
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,24,1530,1,43,37
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,27,630,1,38,38
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1170,1,79,18
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,360,1,36,32
Lukáš Hrádecký,FIN,Monaco,French Ligue 1,GK,Goalkeeper,35,348,1,48,29
Lukáš Zima,CZE,FCSB,UEFA Europa League,GK,Goalkeeper,31,75,1,49,46
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,1,34,48
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,540,1,27,73
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,1260,1,43,66
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,360,1,73,63
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,1440,1,47,76
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,1,63,45
Marin Ljubić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,28,90,1,8,42
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1350,1,38,40
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,1080,1,50,52
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,1080,1,57,55
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,360,1,89,37
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,180,1,39,48
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,360,1,26,50
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,990,1,54,78
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,270,1,77,67
Massimo Pessina,ITA,Bologna,Italian Serie A,GK,Goalkeeper,17,83,1,43,75
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,360,1,67,79
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,360,1,25,42
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,360,1,85,54
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,990,1,63,63
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,360,1,84,54
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,1,79,15
