Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Alejandro Francés,ESP,Girona,"Spanish La Liga, UEFA Champions League",RB,Defender,22,1608,1,41,59,67,50
Alejandro Garnacho,ARG,Manchester Utd,"English Premier League, UEFA Europa League",AM,Forward,20,2929,1,52,63,87,46
Alejandro Jiménez,ESP,Milan,Italian Serie A,RB,Defender,20,1266,1,53,71,91,46
Alejandro Rodriguez,POR,Lyon,French Ligue 1,AM,Forward,17,20,1,26,13,9,8
Alejo Véliz,ARG,Espanyol,Spanish La Liga,AM,Forward,21,1127,1,29,16,11,65
Aleks Pihler,SVN,Borac Banja Luka,UEFA Europa Conference League,CM,Midfielder,30,10,1,27,13,6,47
Aleksa Amanović,MKD,Astana FK,UEFA Europa Conference League,CM,Midfielder,28,315,1,31,15,32,35
Aleksa Pejić,SRB,TSC Bačka Top,UEFA Europa Conference League,CM,Midfielder,25,247,1,32,20,55,72
Aleksa Terzić,SRB,RB Salzburg,UEFA Champions League,LB,Defender,25,400,1,38,39,82,36
Aleksandar Katai,SRB,Red Star,UEFA Champions League,AM,Forward,33,26,1,25,13,29,8
Aleksandar Miljković,SRB,FC Noah,UEFA Europa Conference League,RB,Defender,34,223,1,43,42,61,63
Aleksandar Pavlovic,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,21,1743,1,62,65,65,52
Aleksandar Pešić,SRB,Ferencváros,UEFA Europa League,AM,Forward,32,45,1,25,13,28,36
Aleksandar Sedlar,SRB,Alavés,Spanish La Liga,CB,Defender,33,594,1,33,20,20,49
Aleksandar Stančić,SRB,TSC Bačka Top,UEFA Europa Conference League,CM,Midfielder,18,11,1,36,18,42,58
Aleksandar Subić,BIH,Borac Banja Luka,UEFA Europa Conference League,LB,Defender,31,24,1,31,17,40,51
Aleksandar Ćirković,SRB,TSC Bačka Top,UEFA Europa Conference League,LM,Forward,23,479,1,47,82,86,24
Aleksandr Golovin,RUS,Monaco,"French Ligue 1, UEFA Champions League",LW,Forward,28,1727,1,57,83,71,66
Aleksandr Marochkin,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,34,271,1,31,17,20,56
Aleksandr Selyava,BLR,Dinamo Minsk,UEFA Europa Conference League,DM,Midfielder,32,257,1,17,25,24,59
Aleksei Isayev,AZE,Qarabağ,UEFA Europa League,CM,Midfielder,28,7,1,27,13,6,5
Alen Mustafić,BIH,Slovan Bratislava,UEFA Champions League,CM,Midfielder,25,35,1,49,75,15,47
Alessandro Bastoni,ITA,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,26,3476,1,68,84,78,44
Alessandro Bianco,ITA,"Fiorentina, Monza",Italian Serie A,CM,Midfielder,22,2528,1,44,45,44,37
Alessandro Buongiorno,ITA,Napoli,Italian Serie A,CB,Defender,25,1924,1,68,45,45,58
Alessandro Circati,AUS,Parma,Italian Serie A,CB,Defender,21,540,1,22,21,13,52
Alessandro Deiola,ITA,Cagliari,Italian Serie A,CM,Midfielder,29,1432,1,65,38,30,72
Alessandro Florenzi,ITA,Milan,Italian Serie A,LW,Forward,34,5,1,23,13,6,8
Alessandro Gabrielloni,ITA,Como,Italian Serie A,AM,Forward,30,142,1,87,63,56,48
Alessandro Marcandalli,ITA,"Genoa, Venezia",Italian Serie A,CB,Defender,22,400,1,35,22,27,60
Alessandro Vogliacco,ITA,"Genoa, Parma",Italian Serie A,CB,Defender,26,1487,1,71,42,38,35
Alessandro Zanoli,ITA,Genoa,Italian Serie A,RW,Midfielder,24,1711,1,58,41,82,53
Alessio Cacciamani,ITA,Torino,Italian Serie A,RB,Defender,17,31,1,52,36,96,29
Alessio Castro-Montes,BEL,Union SG,UEFA Europa League,WB,Midfielder,27,180,1,61,67,80,73
Alessio Iovine,ITA,Como,Italian Serie A,RB,Defender,34,387,1,43,54,69,42
Alessio Romagnoli,ITA,Lazio,"Italian Serie A, UEFA Europa League",CB,Defender,30,3533,1,76,49,26,48
Alessio Zerbin,ITA,"Napoli, Venezia",Italian Serie A,LB,Defender,26,1520,1,67,79,85,49
Alex Baena,ESP,Villarreal,Spanish La Liga,LM,Midfielder,23,2595,1,79,93,83,44
Alex Iwobi,NGA,Fulham,English Premier League,LW,Forward,29,2806,1,73,83,82,40
Alex Král,CZE,Espanyol,Spanish La Liga,CM,Midfielder,27,2714,1,28,38,57,53
Alex Matthias Tamm,EST,Olimpija,UEFA Europa Conference League,AM,Forward,23,179,1,32,63,37,40
Alex Scott,ENG,Bournemouth,English Premier League,DM,Midfielder,21,553,1,49,60,60,72
Alex Sola,ESP,Getafe,Spanish La Liga,LM,Midfielder,25,1029,1,35,41,72,55
Alex Tóth,HUN,Ferencváros,UEFA Europa League,AM,Midfielder,19,133,1,36,38,60,38
Alexander Bah,DEN,Benfica,UEFA Champions League,RB,Defender,27,498,1,89,73,78,77
Alexander Bernhardsson,SWE,Holstein Kiel,German Bundesliga,AM,Forward,26,1263,1,75,54,50,61
Alexander Djiku,GHA,Fenerbahçe,UEFA Europa League,CB,Defender,30,648,1,70,36,41,63
Alexander Isak,SWE,Newcastle Utd,English Premier League,AM,Forward,25,2413,1,82,65,66,38
Alexander Jeremejeff,SWE,Panathinaikos,UEFA Europa Conference League,AM,Forward,31,306,1,52,22,39,59
Alexander Prass,AUT,Hoffenheim,"German Bundesliga, UEFA Europa League",WB,Midfielder,23,1866,1,35,69,71,67
Alexander Sørloth,NOR,Atlético Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,29,1859,1,76,38,41,54
Alexandr Sojka,NAN,Viktoria Plzeň,UEFA Europa League,AM,Forward,21,127,1,33,52,27,85
