Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,83,58
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,50,60
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,23,33
Guillaume Dietsch,FRA,Goalkeeper,Dender,0.0,2001,1,0,49,12,8
Guillermo Allison,MEX,Goalkeeper,Querétaro,0.0,1990,25,25,2250,44,50
Guillermo Ochoa,MEX,Goalkeeper,AVS Futebol,0.0,1985,23,23,2070,25,61
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,16,69
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,44,44
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,23,39
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,58,41
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,0.0,1993,19,19,1710,44,69
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,70,37
Hidde Jurjus,NED,Goalkeeper,Groningen,0.0,1994,2,2,180,17,66
Horaţiu Moldovan,ROU,Goalkeeper,Sassuolo,0.0,1998,27,27,2430,58,34
Hugo González Durán,MEX,Goalkeeper,Mazatlán,0.0,1990,34,34,3015,47,68
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,42,51
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,55,38
Héctor Holguín,MEX,Goalkeeper,Santos,0.0,2001,1,1,90,72,42
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,86,64
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,22,26
Illan Meslier,FRA,Goalkeeper,Leeds United,0.0,2000,39,39,3510,47,34
Ivan Zlobin,RUS,Goalkeeper,Famalicão,0.0,1997,15,15,1350,76,35
Ivor Pandur,CRO,Goalkeeper,Hull City,0.0,2000,44,44,3960,53,42
Jacob Widell Zetterström,SWE,Goalkeeper,Derby County,0.0,1998,40,40,3600,52,55
Jacopo Sassi,ITA,Goalkeeper,Modena,0.0,2003,1,1,90,11,72
Jak Alnwick,ENG,Goalkeeper,Cardiff City,0.0,1993,29,29,2610,44,41
James Beadle,ENG,Goalkeeper,Sheffield Weds,0.0,2004,38,38,3420,34,49
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,65,69
