Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Sem Steijn,NED,Midfielder,Twente,0.0,2001,33,32,2762,84,64,54,18
Semeu Commey,GHA,Defender,Estrela,0.0,2004,2,0,45,32,27,29,57
Semi Ajayi,NGA,Defender,West Brom,0.0,1993,15,14,1228,31,45,44,28
Semm Renders,BEL,Defender,Antwerp,0.0,2007,13,6,556,46,52,71,38
Senna Miangue,BEL,Defender,Cercle Brugge,0.0,1997,16,7,802,40,55,43,53
Senne Lammens,BEL,Goalkeeper,Antwerp,0.0,2002,30,30,2700,46,46,45,47
Seny Dieng,SEN,Goalkeeper,Middlesbrough,0.0,1994,17,17,1530,51,53,45,44
Serge Ngoma,USA,Forward,NY Red Bulls,20.0,2005,12,4,424,52,35,48,49
Sergi Palencia,ESP,Midfielder,LAFC,29.0,1996,21,20,1735,61,65,78,74
Serginho,POR,Midfielder,Santa Clara,0.0,1999,29,15,1302,66,51,37,41
Sergio Aguayo,USA,Forward,Pachuca,0.0,2002,6,0,162,70,32,24,54
Sergio Araujo,ARG,Forward,py Cerro Porteño,33.0,1992,4,1,162,39,35,23,67
Sergio Barreto,ARG,Defender,Pachuca,0.0,1999,19,19,1635,26,40,19,54
Sergio Bermejo,ESP,Forward,Gil Vicente FC,0.0,1997,10,6,475,54,51,56,59
Sergio Busquets,ESP,Midfielder,Inter Miami,37.0,1988,21,21,1875,36,78,41,69
Sergio Canales,ESP,Forward,Monterrey,0.0,1991,30,30,2637,79,91,75,34
Sergio De los Ríos,MEX,Midfielder,Pachuca,0.0,2003,5,0,108,52,67,93,40
Sergio Hernández,MEX,Forward,Pachuca,0.0,2002,17,9,713,69,73,70,49
Sergio Kalaj,ALB,Defender,Frosinone,0.0,2000,4,3,272,31,26,27,45
Sergio Oregel,USA,Midfielder,Chicago Fire,20.0,2005,21,21,1676,34,60,41,23
Sergio Ortíz,ARG,Midfielder,Deportivo Riestra,24.0,2001,1,0,8,28,10,7,36
Sergio Palacios,COL,Defender,RB Bragantino,20.0,2005,2,1,71,29,17,10,5
Sergio Ramos,ESP,Defender,Monterrey,0.0,1986,8,8,692,77,54,28,50
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,40,37,45,33
Sergio Santos Gomes,BRA,Forward,FC Cincinnati,30.0,1994,18,6,646,57,63,58,72
Sergio Vittor,ARG,Defender,Banfield,36.0,1989,2,2,179,51,78,63,21
Sergiño Dest,USA,Defender,PSV Eindhoven,0.0,2000,7,4,376,55,88,93,43
Serhiy Sydorchuk,UKR,Midfielder,Westerlo,0.0,1991,11,3,317,48,86,67,47
Seymour Reid,JAM,Forward,NYCFC,17.0,2008,5,0,68,45,66,57,8
Shamar Nicholson,JAM,Forward,Tijuana,0.0,1997,9,5,423,48,50,24,41
