Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Atalanta,Italian Serie A,J1,66%,513 of 611 — 84%,6 of 21 — 29%,2 of 2 — 100%
Pisa,Italian Serie A,J1,34%,73% — 234 of 321,18% — 2 of 11,83% — 5 of 6
Juventus,Italian Serie A,J1,64%,483 of 549 — 88%,8 of 25 — 32%,1 of 1 — 100%
Parma,Italian Serie A,J1,36%,71% — 222 of 313,13% — 1 of 8,75% — 6 of 8
Udinese,Italian Serie A,J1,62%,440 of 526 — 84%,4 of 14 — 29%,2 of 3 — 66%
Hellas Verona,Italian Serie A,J1,38%,72% — 231 of 321,33% — 3 of 9,75% — 3 of 4
Liverpool,English Premier League,J1,61%,430 of 539 — 80%,10 of 19 — 53%,1 of 3 — 33%
Bournemouth,English Premier League,J1,39%,67% — 229 of 343,30% — 3 of 10,60% — 6 of 10
Aston Villa,English Premier League,J1,41%,243 of 345 — 70%,3 of 3 — 100%,3 of 3 — 100%
Newcastle Utd,English Premier League,J1,59%,81% — 403 of 499,19% — 3 of 16,100% — 3 of 3
Sunderland,English Premier League,J1,38%,268 of 360 — 74%,5 of 10 — 50%,3 of 3 — 100%
West Ham,English Premier League,J1,63%,83% — 496 of 600,25% — 3 of 12,40% — 2 of 5
Tottenham,English Premier League,J1,66%,477 of 559 — 85%,6 of 16 — 38%,4 of 4 — 100%
Burnley,English Premier League,J1,34%,70% — 197 of 282,29% — 4 of 14,50% — 3 of 6
Brighton,English Premier League,J1,49%,388 of 454 — 85%,3 of 9 — 33%,1 of 2 — 50%
Fulham,English Premier League,J1,51%,81% — 376 of 466,29% — 2 of 7,100% — 3 of 3
Wolves,English Premier League,J1,42%,354 of 445 — 80%,3 of 9 — 33%,0 of 4 — 0%
Manchester City,English Premier League,J1,58%,89% — 535 of 603,27% — 4 of 15,100% — 3 of 3
Nott'ham Forest,English Premier League,J1,55%,354 of 453 — 78%,5 of 11 — 45%,2 of 2 — 100%
Brentford,English Premier League,J1,45%,76% — 284 of 376,22% — 2 of 9,40% — 2 of 5
