Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Nick Pope,J2,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,33,90,4.0,3.0,1.0,2.3,-0.7,0,1.0,12,17.0,3.0,669.8,5.0,273.0,7,0.0,2.0,49.0
Alisson,J2,Liverpool,English Premier League,BRA,GK,Goalkeeper,32,90,3.0,2.0,1.0,1.9,-0.1,0,6.0,16,36.0,4.0,1263.6,2.0,132.0,19,1.0,5.0,82.0
Robert Sánchez,J3,Chelsea,English Premier League,ESP,GK,Goalkeeper,27,90,1.0,0.0,1.0,0.1,0.1,1,1.0,11,32.0,3.0,1161.6,2.0,92.0,11,0.0,0.0,0.0
Bernd Leno,J3,Fulham,English Premier League,GER,GK,Goalkeeper,33,90,6.0,2.0,4.0,2.5,0.5,0,5.0,21,46.0,8.0,1518.0,6.0,271.8,11,1.0,2.0,39.2
Robin Roefs,J3,Sunderland,English Premier League,NED,GK,Goalkeeper,22,90,4.0,1.0,2.0,1.5,0.5,0,7.0,17,47.0,1.0,1569.8,4.0,245.2,12,1.0,3.0,68.4
Caoimhín Kelleher,J3,Brentford,English Premier League,IRL,GK,Goalkeeper,26,90,3.0,2.0,1.0,0.9,-1.1,0,9.0,21,32.0,2.0,1001.6,10.0,680.0,16,1.0,0.0,0.0
José Sá,J3,Wolves,English Premier League,POR,GK,Goalkeeper,32,90,4.0,3.0,1.0,2.7,-0.3,0,7.0,16,34.0,4.0,1254.6,4.0,227.2,9,1.0,1.0,14.2
Jordan Pickford,J3,Everton,English Premier League,ENG,GK,Goalkeeper,31,90,4.0,2.0,2.0,1.2,-0.8,0,12.0,30,32.0,1.0,1609.6,8.0,555.2,12,1.0,3.0,51.9
Guglielmo Vicario,J3,Tottenham,English Premier League,ITA,GK,Goalkeeper,28,90,6.0,1.0,5.0,1.4,0.4,0,7.0,14,53.0,7.0,1510.5,5.0,284.0,15,1.0,3.0,56.7
Đorđe Petrović,J3,Bournemouth,English Premier League,SRB,GK,Goalkeeper,25,90,1.0,0.0,1.0,0.2,0.2,1,6.0,20,25.0,3.0,1157.5,7.0,436.8,11,3.0,1.0,11.3
Altay Bayındır,J3,Manchester Utd,English Premier League,TUR,GK,Goalkeeper,27,90,3.0,2.0,1.0,1.5,-0.5,0,8.0,17,30.0,3.0,1182.0,2.0,128.0,6,0.0,1.0,14.6
Martin Dúbravka,J3,Burnley,English Premier League,SVK,GK,Goalkeeper,36,90,6.0,3.0,4.0,1.6,-1.4,0,9.0,29,21.0,5.0,806.4,18.0,1202.4,22,0.0,1.0,15.0
Lucas Perri,J3,Leeds United,English Premier League,BRA,GK,Goalkeeper,27,90,2.0,0.0,2.0,0.3,0.3,1,10.0,37,35.0,5.0,1694.0,10.0,668.0,12,1.0,0.0,0.0
Nick Pope,J3,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,33,90,1.0,0.0,1.0,0.1,0.1,1,2.0,6,24.0,10.0,631.2,7.0,282.1,12,3.0,2.0,32.4
Bart Verbruggen,J3,Brighton,English Premier League,NED,GK,Goalkeeper,23,90,3.0,1.0,2.0,1.1,0.1,0,4.0,19,35.0,4.0,1232.0,9.0,550.8,4,1.0,1.0,18.5
James Trafford,J3,Manchester City,English Premier League,ENG,GK,Goalkeeper,22,90,7.0,2.0,5.0,3.1,1.1,0,6.0,16,41.0,3.0,1299.7,4.0,221.2,5,1.0,3.0,46.8
Matz Sels,J3,Nott'ham Forest,English Premier League,BEL,GK,Goalkeeper,33,90,8.0,3.0,5.0,3.3,0.3,0,0.0,3,9.0,3.0,278.1,5.0,70.0,13,0.0,0.0,0.0
Mads Hermansen,J3,West Ham,English Premier League,DEN,GK,Goalkeeper,25,90,3.0,0.0,3.0,0.3,0.3,1,2.0,14,45.0,10.0,1228.5,4.0,206.0,27,3.0,0.0,0.0
Alisson,J3,Liverpool,English Premier League,BRA,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.6,0.6,1,4.0,13,48.0,3.0,1526.4,2.0,79.0,12,0.0,2.0,36.0
David Raya,J3,Arsenal,English Premier League,ESP,GK,Goalkeeper,29,90,3.0,1.0,2.0,0.3,-0.7,0,12.0,26,49.0,7.0,1974.7,2.0,138.0,6,2.0,2.0,35.2
Marco Bizot,J3,Aston Villa,English Premier League,NED,GK,Goalkeeper,34,90,4.0,3.0,1.0,2.4,-0.6,0,3.0,3,19.0,4.0,495.9,3.0,114.0,6,1.0,7.0,151.9
Dean Henderson,J3,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,28,90,4.0,0.0,4.0,1.0,1.0,1,5.0,17,25.0,6.0,960.0,8.0,523.2,23,4.0,0.0,0.0
David Raya,J4,Arsenal,English Premier League,ESP,GK,Goalkeeper,29,90,1.0,0.0,1.0,0.1,0.1,1,3.0,6,32.0,5.0,835.2,1.0,21.0,9,0.0,2.0,46.6
Matz Sels,J4,Nott'ham Forest,English Premier League,BEL,GK,Goalkeeper,33,90,5.0,3.0,2.0,2.2,-0.8,0,4.0,9,19.0,3.0,636.5,11.0,234.3,15,0.0,0.0,0.0
Dean Henderson,J4,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,28,90,0.0,0.0,0.0,0.0,0.0,1,8.0,18,35.0,5.0,1225.0,7.0,347.9,15,0.0,1.0,16.0
Robin Roefs,J4,Sunderland,English Premier League,NED,GK,Goalkeeper,22,90,6.0,0.0,6.0,1.4,1.4,1,7.0,18,37.0,4.0,1206.2,6.0,390.0,16,2.0,1.0,12.9
Jordan Pickford,J4,Everton,English Premier League,ENG,GK,Goalkeeper,31,90,1.0,0.0,1.0,0.1,0.1,1,6.0,17,33.0,4.0,1250.7,3.0,189.0,7,1.0,0.0,0.0
Emiliano Martínez,J4,Aston Villa,English Premier League,ARG,GK,Goalkeeper,33,90,2.0,0.0,2.0,0.3,0.3,1,5.0,19,30.0,1.0,1128.0,5.0,339.0,16,1.0,0.0,0.0
Bernd Leno,J4,Fulham,English Premier League,GER,GK,Goalkeeper,33,90,3.0,0.0,3.0,0.5,0.5,1,1.0,2,23.0,5.0,420.9,5.0,122.0,9,0.0,0.0,0.0
Karl Darlow,J4,Leeds United,English Premier League,WAL,GK,Goalkeeper,34,90,3.0,1.0,3.0,0.9,-0.1,0,7.0,21,38.0,7.0,1580.8,3.0,147.9,20,1.0,0.0,0.0
Nick Pope,J4,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,33,90,3.0,0.0,3.0,0.3,0.3,1,1.0,6,18.0,6.0,520.2,8.0,302.4,11,2.0,1.0,13.3
Sam Johnstone,J4,Wolves,English Premier League,ENG,GK,Goalkeeper,32,90,4.0,1.0,3.0,1.8,0.8,0,7.0,27,37.0,8.0,1561.4,8.0,380.0,21,0.0,3.0,44.4
Đorđe Petrović,J4,Bournemouth,English Premier League,SRB,GK,Goalkeeper,25,90,2.0,1.0,1.0,1.3,0.3,0,7.0,16,24.0,4.0,789.6,12.0,654.0,13,0.0,2.0,36.0
Bart Verbruggen,J4,Brighton,English Premier League,NED,GK,Goalkeeper,23,90,5.0,2.0,3.0,1.5,-0.5,0,4.0,10,38.0,4.0,1136.2,0.0,0.0,13,0.0,2.0,28.2
Mads Hermansen,J4,West Ham,English Premier League,DEN,GK,Goalkeeper,25,90,5.0,3.0,2.0,2.2,-0.8,0,5.0,22,26.0,2.0,988.0,9.0,611.1,25,0.0,0.0,0.0
Guglielmo Vicario,J4,Tottenham,English Premier League,ITA,GK,Goalkeeper,28,90,4.0,0.0,4.0,0.4,0.4,1,1.0,5,41.0,5.0,1000.4,1.0,6.0,7,0.0,0.0,0.0
Caoimhín Kelleher,J4,Brentford,English Premier League,IRL,GK,Goalkeeper,26,90,6.0,2.0,4.0,2.2,0.2,0,8.0,16,29.0,7.0,997.6,4.0,248.0,9,0.0,0.0,0.0
Robert Sánchez,J4,Chelsea,English Premier League,ESP,GK,Goalkeeper,27,90,4.0,2.0,2.0,2.3,0.3,0,1.0,3,16.0,6.0,481.6,1.0,35.0,13,3.0,2.0,24.0
Martin Dúbravka,J4,Burnley,English Premier League,SVK,GK,Goalkeeper,36,90,4.0,1.0,3.0,1.2,0.2,0,6.0,38,21.0,4.0,1075.2,21.0,1402.8,36,1.0,0.0,0.0
Alisson,J4,Liverpool,English Premier League,BRA,GK,Goalkeeper,32,90,0.0,0.0,0.0,0.0,0.0,1,3.0,5,21.0,3.0,590.1,6.0,111.0,3,0.0,0.0,0.0
Gianluigi Donnarumma,J4,Manchester City,English Premier League,ITA,GK,Goalkeeper,26,90,2.0,0.0,2.0,0.1,0.1,1,5.0,15,26.0,4.0,894.4,5.0,287.0,17,0.0,0.0,0.0
Altay Bayındır,J4,Manchester Utd,English Premier League,TUR,GK,Goalkeeper,27,90,5.0,3.0,2.0,2.2,-0.8,0,5.0,18,27.0,3.0,982.8,5.0,275.0,2,0.0,3.0,66.0
Alisson,J5,Liverpool,English Premier League,BRA,GK,Goalkeeper,32,90,2.0,1.0,1.0,0.6,-0.4,0,4.0,11,45.0,5.0,1237.5,2.0,82.0,18,0.0,0.0,0.0
Jordan Pickford,J5,Everton,English Premier League,ENG,GK,Goalkeeper,31,90,3.0,2.0,1.0,1.2,-0.8,0,7.0,25,36.0,3.0,1522.8,6.0,397.8,10,0.0,4.0,98.4
Alphonse Areola,J5,West Ham,English Premier League,FRA,GK,Goalkeeper,32,90,3.0,2.0,1.0,1.6,-0.4,0,2.0,14,31.0,6.0,961.0,11.0,497.2,15,1.0,0.0,0.0
Dean Henderson,J5,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,28,90,3.0,1.0,2.0,1.6,0.6,0,9.0,19,27.0,4.0,1031.4,9.0,377.1,16,0.0,0.0,0.0
Bart Verbruggen,J5,Brighton,English Premier League,NED,GK,Goalkeeper,23,90,3.0,2.0,2.0,1.6,-0.4,0,4.0,20,33.0,3.0,1485.0,4.0,184.0,26,0.0,0.0,0.0
Guglielmo Vicario,J5,Tottenham,English Premier League,ITA,GK,Goalkeeper,28,90,4.0,2.0,2.0,1.4,-0.6,0,7.0,16,41.0,8.0,1307.9,8.0,188.8,5,1.0,5.0,85.5
