Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Pep Chavarría,J19,LB,Defender,Rayo Vallecano,Spanish La Liga,90.0,7.37,26,ESP
Abdul Mumin,J19,CB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.91,26,GHA
Florian Lejeune,J19,CB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.54,33,FRA
Andrei Ratiu,J19,RB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.82,26,ROU
Marcos Alonso,J19,LB,Defender,Celta Vigo,Spanish La Liga,89.0,7.03,34,ESP
Carlos Dominguez,J19,CB,Defender,Celta Vigo,Spanish La Liga,90.0,6.44,23,ESP
Carl Starfelt,J19,CB,Defender,Celta Vigo,Spanish La Liga,80.0,6.1,29,SWE
Óscar Mingueza,J19,RB,Defender,Celta Vigo,Spanish La Liga,90.0,7.04,25,ESP
Manu Sánchez,J19,LB,Defender,Alavés,Spanish La Liga,89.0,6.06,24,ESP
Moussa Diarra,J19,CB,Defender,Alavés,Spanish La Liga,90.0,6.02,24,MLI
Abdel Abqar,J19,CB,Defender,Alavés,Spanish La Liga,90.0,6.02,25,MAR
Nahuel Tenaglia,J19,RB,Defender,Alavés,Spanish La Liga,90.0,7.28,28,ARG
Daley Blind,J19,LB,Defender,Girona,Spanish La Liga,90.0,7.28,34,NED
Ladislav Krejčí,J19,CB,Defender,Girona,Spanish La Liga,90.0,7.04,25,CZE
David López,J19,CB,Defender,Girona,Spanish La Liga,90.0,6.86,35,ESP
Arnau Martinez,J19,RB,Defender,Girona,Spanish La Liga,90.0,7.27,21,ESP
Lucas Oliveira Rosa,J19,LB,Defender,Valladolid,Spanish La Liga,90.0,7.22,24,BRA
Javi Sánchez,J19,CB,Defender,Valladolid,Spanish La Liga,90.0,6.28,27,ESP
Juma Bah,J19,CB,Defender,Valladolid,Spanish La Liga,45.0,5.82,18,SLE
David Torres,J19,CB,Defender,Valladolid,Spanish La Liga,36.0,6.34,21,ESP
Luis Pérez,J19,RB,Defender,Valladolid,Spanish La Liga,90.0,6.51,29,ESP
Aitor Ruibal,J19,RB,Defender,Betis,Spanish La Liga,30.0,5.62,28,ESP
Ricardo Rodríguez,J19,LB,Defender,Betis,Spanish La Liga,90.0,7.08,32,SUI
Natan,J19,CB,Defender,Betis,Spanish La Liga,90.0,6.68,23,BRA
Diego Llorente,J19,CB,Defender,Betis,Spanish La Liga,90.0,6.66,31,ESP
Youssouf Sabaly,J19,RB,Defender,Betis,Spanish La Liga,72.0,5.98,31,SEN
Brian Oliván,J19,LB,Defender,Espanyol,Spanish La Liga,90.0,6.51,30,ESP
Leandro Cabrera,J19,CB,Defender,Espanyol,Spanish La Liga,90.0,7.12,33,URU
Marash Kumbulla,J19,CB,Defender,Espanyol,Spanish La Liga,90.0,6.54,24,ALB
Omar El Hilali,J19,RB,Defender,Espanyol,Spanish La Liga,90.0,7.0,21,MAR
Javi Hernández,J19,LB,Defender,Leganés,Spanish La Liga,23.0,7.04,26,ESP
Juan Cruz,J19,LB,Defender,Leganés,Spanish La Liga,90.0,6.07,24,ESP
Matija Nastasić,J19,CB,Defender,Leganés,Spanish La Liga,90.0,6.15,31,SRB
Sergi,J19,CB,Defender,Leganés,Spanish La Liga,90.0,6.79,32,ESP
Renato Tapia,J19,CB,Defender,Leganés,Spanish La Liga,90.0,6.68,29,PER
Valentin Rosier,J19,RB,Defender,Leganés,Spanish La Liga,90.0,6.65,28,FRA
Kike Salas,J19,LB,Defender,Sevilla,Spanish La Liga,77.0,7.08,22,ESP
Nemanja Gudelj,J19,CB,Defender,Sevilla,Spanish La Liga,90.0,6.04,33,SRB
Loïc Bade,J19,CB,Defender,Sevilla,Spanish La Liga,90.0,6.74,24,FRA
Carmona,J19,RB,Defender,Sevilla,Spanish La Liga,68.0,6.29,22,ESP
Juanlu Sánchez,J19,RB,Defender,Sevilla,Spanish La Liga,22.0,7.2,21,ESP
José Luis Gayà,J19,LB,Defender,Valencia,Spanish La Liga,67.0,7.1,29,ESP
Yarek Gasiorowski,J19,CB,Defender,Valencia,Spanish La Liga,23.0,5.33,19,ESP
Cristhian Mosquera,J19,CB,Defender,Valencia,Spanish La Liga,90.0,6.56,20,ESP
César Tárrega,J19,CB,Defender,Valencia,Spanish La Liga,90.0,6.29,22,ESP
Dimitri Foulquier,J19,RB,Defender,Valencia,Spanish La Liga,90.0,6.9,31,FRA
Mika Mármol,J19,LB,Defender,Las Palmas,Spanish La Liga,90.0,6.85,23,ESP
Scott McKenna,J19,CB,Defender,Las Palmas,Spanish La Liga,90.0,6.52,28,SCO
Álex Suárez,J19,CB,Defender,Las Palmas,Spanish La Liga,90.0,7.06,31,ESP
Juan Herzog,J19,RB,Defender,Las Palmas,Spanish La Liga,45.0,6.88,21,ESP
Iglesias,J19,LB,Defender,Getafe,Spanish La Liga,90.0,6.55,26,ESP
Omar Alderete,J19,CB,Defender,Getafe,Spanish La Liga,90.0,6.0,28,PAR
Domingos Duarte,J19,CB,Defender,Getafe,Spanish La Liga,90.0,6.13,29,POR
Djené,J19,RB,Defender,Getafe,Spanish La Liga,90.0,6.34,33,TOG
Federico Barba,J16,LB,Defender,Como,Italian Serie A,90.0,5.84,31,ITA
Marc-Oliver Kempf,J16,CB,Defender,Como,Italian Serie A,90.0,5.77,29,GER
Edoardo Goldaniga,J16,CB,Defender,Como,Italian Serie A,90.0,6.05,31,ITA
Ignace Van Der Brempt,J16,RB,Defender,Como,Italian Serie A,90.0,5.79,22,BEL
Gianluca Mancini,J16,CB,Defender,Roma,Italian Serie A,29.0,6.93,28,ITA
Mario Hermoso,J16,CB,Defender,Roma,Italian Serie A,90.0,6.37,29,ESP
Obite N'Dicka,J16,CB,Defender,Roma,Italian Serie A,90.0,6.04,25,CIV
Zeki Çelik,J16,CB,Defender,Roma,Italian Serie A,90.0,6.85,27,TUR
Javi Galán,J19,LB,Defender,Atlético Madrid,Spanish La Liga,90.0,6.57,30,ESP
Clément Lenglet,J19,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,7.29,29,FRA
Robin Le Normand,J19,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,6.53,28,ESP
Nahuel Molina,J19,RB,Defender,Atlético Madrid,Spanish La Liga,90.0,7.18,26,ARG
Jesús Areso,J19,RB,Defender,Osasuna,Spanish La Liga,28.0,6.69,25,ESP
Abel,J19,LB,Defender,Osasuna,Spanish La Liga,90.0,7.2,24,ESP
Jorge Herrando,J19,CB,Defender,Osasuna,Spanish La Liga,90.0,6.51,23,ESP
Catena,J19,CB,Defender,Osasuna,Spanish La Liga,90.0,6.27,30,ESP
Enzo Boyomo,J19,CB,Defender,Osasuna,Spanish La Liga,62.0,5.74,23,CMR
Rubén Peña,J19,RB,Defender,Osasuna,Spanish La Liga,62.0,5.7,33,ESP
Aihen Muñoz,J19,LB,Defender,Real Sociedad,Spanish La Liga,90.0,6.76,27,ESP
Nayef Aguerd,J19,CB,Defender,Real Sociedad,Spanish La Liga,90.0,6.67,28,MAR
Aritz Elustondo,J19,CB,Defender,Real Sociedad,Spanish La Liga,72.0,6.37,30,ESP
Jon Aramburu,J19,RB,Defender,Real Sociedad,Spanish La Liga,90.0,6.65,22,VEN
Sergi Cardona,J19,LB,Defender,Villarreal,Spanish La Liga,90.0,7.14,25,ESP
Willy Kambwala,J19,CB,Defender,Villarreal,Spanish La Liga,90.0,6.22,20,FRA
Juan Foyth,J19,CB,Defender,Villarreal,Spanish La Liga,90.0,6.74,27,ARG
Kiko Femenía,J19,RB,Defender,Villarreal,Spanish La Liga,90.0,6.8,33,ESP
Brian Oliván,J20,LB,Defender,Espanyol,Spanish La Liga,90.0,6.36,30,ESP
Leandro Cabrera,J20,CB,Defender,Espanyol,Spanish La Liga,90.0,6.23,33,URU
Marash Kumbulla,J20,CB,Defender,Espanyol,Spanish La Liga,90.0,6.89,24,ALB
