Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Luis Henrique,Marseille,French Ligue 1,LW,Forward,BRA,23,217.77,2613,33,6.6
Luis Milla,Getafe,Spanish La Liga,CM,Midfielder,ESP,30,226.29,2875,33,6.86
Luis Phelipe,FCSB,UEFA Europa League,AM,Forward,BRA,23,6.41,45,1,6.41
Luis Pérez,Valladolid,Spanish La Liga,RB,Defender,ESP,30,199.1,2558,30,6.64
Luis Rioja,"Alavés, Valencia",Spanish La Liga,LM,Midfielder,ESP,31,250.61,2854,37,6.77
Luis Sinisterra,Bournemouth,English Premier League,LW,Forward,COL,25,80.0,236,12,6.67
Luis Vázquez,Anderlecht,UEFA Europa League,AM,Forward,ARG,24,62.63,630,10,6.26
Luiz Felipe,Marseille,French Ligue 1,CB,Defender,ITA,28,23.5,122,4,5.88
Luka Bobičanec,NK Celje,UEFA Europa Conference League,DM,Midfielder,CRO,31,11.51,68,2,5.76
Luka Capan,TSC,UEFA Europa Conference League,CB,Defender,CRO,29,17.23,211,3,5.74
Luka Ilić,Red Star,UEFA Champions League,AM,Midfielder,SRB,25,32.84,89,5,6.57
Luka Ivanušec,Feyenoord,UEFA Champions League,CM,Midfielder,CRO,26,27.74,178,4,6.94
Luka Jović,Milan,Italian Serie A,AM,Forward,SRB,27,93.41,557,15,6.23
Luka Modrić,Real Madrid,"Spanish La Liga, UEFA Champions League",AM,Midfielder,CRO,39,350.15,2474,49,7.15
Luka Romero,Alavés,Spanish La Liga,AM,Forward,ARG,20,37.03,199,6,6.17
Luka Silagadze,FK Rīgas FS,UEFA Europa League,CM,Midfielder,GEO,25,30.65,93,5,6.13
Luka Stojkovic,Dinamo Zagreb,UEFA Champions League,AM,Forward,CRO,21,41.54,264,6,6.92
Luka Sučić,Real Sociedad,"Spanish La Liga, UEFA Europa League",AM,Forward,CRO,22,232.5,2173,35,6.64
Luka Topalović,Inter,Italian Serie A,AM,Forward,SVN,19,6.15,11,1,6.15
Luka Zorić,Borac Banja Luka,UEFA Europa Conference League,DM,Midfielder,SRB,26,4.5,22,1,4.5
Lukas Daschner,Bochum,German Bundesliga,AM,Forward,GER,26,86.66,412,14,6.19
Lukas Grgic,Rapid Wien,UEFA Europa Conference League,DM,Midfielder,AUT,29,61.06,855,10,6.11
Lukas Görtler,St. Gallen,UEFA Europa Conference League,RM,Midfielder,GER,30,39.42,442,6,6.57
Lukas Kačavenda,Dinamo Zagreb,UEFA Champions League,AM,Forward,CRO,21,42.48,217,6,7.08
Lukas Klostermann,RB Leipzig,"German Bundesliga, UEFA Champions League",CB,Defender,GER,28,195.4,1882,31,6.3
Lukas Kübler,Freiburg,German Bundesliga,RB,Defender,GER,32,181.5,1842,28,6.48
Lukas Lerager,FC Copenhagen,UEFA Europa Conference League,DM,Midfielder,DEN,31,30.35,350,5,6.07
Lukas Nmecha,Wolfsburg,German Bundesliga,AM,Forward,GER,26,115.73,467,19,6.09
Lukas Ullrich,Gladbach,German Bundesliga,LB,Defender,GER,21,161.9,1903,26,6.23
Luke McCowan,Celtic,UEFA Champions League,AM,Forward,SCO,27,21.36,51,3,7.12
Luke Plange,HJK,UEFA Europa Conference League,AM,Forward,ENG,22,18.21,48,3,6.07
Luke Shaw,Manchester Utd,"English Premier League, UEFA Europa League",CB,Defender,ENG,29,75.46,591,12,6.29
Luke Thomas,Leicester City,English Premier League,LB,Defender,ENG,23,93.53,1110,14,6.68
Luke Woolfenden,Ipswich Town,English Premier League,CB,Defender,ENG,26,94.98,1187,15,6.33
Luken Beitia,Real Sociedad,Spanish La Liga,CB,Defender,ESP,20,7.19,8,1,7.19
Lukáš Haraslín,Sparta Prague,UEFA Champions League,LW,Forward,SVK,28,41.11,263,6,6.85
Lukáš Hejda,Viktoria Plzeň,UEFA Europa League,CB,Defender,CZE,34,5.52,18,1,5.52
Lukáš Kalvach,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,CZE,29,77.67,1039,12,6.47
Lukáš Mašek,Mladá Boleslav,UEFA Europa Conference League,AM,Forward,CZE,20,11.89,171,2,5.94
Lukáš Pauschek,Slovan Bratislava,UEFA Champions League,LB,Defender,SVK,31,7.11,13,1,7.11
Lukáš Penxa,Sparta Prague,UEFA Champions League,WB,Midfielder,NAN,20,5.83,1,1,5.83
Lukáš Provod,Slavia Prague,UEFA Europa League,AM,Forward,CZE,28,40.97,428,6,6.83
Lukáš Sadílek,Sparta Prague,UEFA Champions League,CM,Midfielder,CZE,28,41.52,304,6,6.92
Lukáš Červ,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,CZE,23,78.2,974,12,6.52
Luquinhas,Legia Warsaw,UEFA Europa Conference League,LM,Midfielder,BRA,28,55.47,635,9,6.16
Lutsharel Geertruida,RB Leipzig,"German Bundesliga, UEFA Champions League",RB,Defender,NED,24,208.33,2174,32,6.51
Luuk de Jong,PSV Eindhoven,UEFA Champions League,AM,Forward,NED,34,85.28,904,12,7.11
László Bénes,Union Berlin,German Bundesliga,AM,Forward,SVK,27,142.14,589,23,6.18
Léo Duarte,Başakşehir,UEFA Europa Conference League,RB,Defender,BRA,28,31.62,450,5,6.32
Léo Natel,Pafos FC,UEFA Europa Conference League,LM,Defender,BRA,27,17.8,31,3,5.93
Léo Pétrot,Saint-Étienne,French Ligue 1,LB,Defender,FRA,28,197.62,2544,30,6.59
Léo Scienza,Heidenheim,"German Bundesliga, UEFA Europa Conference League",LW,Forward,BRA,26,199.3,1630,31,6.43
M'Bala Nzola,Lens,French Ligue 1,AM,Forward,ANG,28,135.91,1460,21,6.47
Maat Daniel Caprini,Fiorentina,Italian Serie A,AM,Forward,ITA,19,11.63,8,2,5.82
Macauley Tait,Hearts,UEFA Europa Conference League,CM,Midfielder,SCO,19,11.61,80,2,5.8
Mads Bech Sørensen,Midtjylland,UEFA Europa League,CB,Defender,DEN,26,62.19,855,10,6.22
Mads Bidstrup,RB Salzburg,UEFA Champions League,RM,Midfielder,DEN,23,36.56,331,5,7.31
Mads Enggård,Molde,UEFA Europa Conference League,CM,Midfielder,DEN,21,62.54,743,10,6.25
Mads Pedersen,Augsburg,German Bundesliga,RB,Defender,DEN,28,41.23,235,7,5.89
Mads Roerslev,"Brentford, Wolfsburg","English Premier League, German Bundesliga",RB,Defender,DEN,25,168.29,1399,26,6.47
Maghnes Akliouche,Monaco,"French Ligue 1, UEFA Champions League",RM,Forward,FRA,23,292.87,3211,42,6.97
Magnus Eriksson,Djurgården,UEFA Europa Conference League,AM,Forward,SWE,34,12.17,109,2,6.08
Magnus Knudsen,Holstein Kiel,German Bundesliga,CM,Midfielder,NOR,23,191.27,1850,31,6.17
Magnus Kofod Andersen,Venezia,Italian Serie A,CM,Midfielder,DEN,25,87.39,695,14,6.24
Magnus Mattsson,FC Copenhagen,UEFA Europa Conference League,AM,Forward,DEN,26,60.94,434,10,6.09
Magnus Wolff Eikrem,Molde,UEFA Europa Conference League,AM,Forward,NOR,34,39.65,535,6,6.61
Magomed Ozdoyev,PAOK,UEFA Europa League,DM,Midfielder,RUS,32,56.03,670,9,6.23
Mahamadou Diawara,"Le Havre, Lyon","French Ligue 1, UEFA Europa League",CM,Midfielder,FRA,20,118.42,624,19,6.23
Mahamadou Nagida,Rennes,French Ligue 1,WB,Midfielder,CMR,19,75.44,430,12,6.29
Mahdi Camara,Brest,"French Ligue 1, UEFA Champions League",RM,Midfielder,FRA,26,293.98,3364,44,6.68
Mahmadou Balde,Lazio,UEFA Europa League,AM,Forward,ESP,21,12.73,18,2,6.36
Mahmoud Dahoud,Eint Frankfurt,"German Bundesliga, UEFA Europa League",CM,Midfielder,GER,29,108.06,860,17,6.36
Majeed Ashimeru,Anderlecht,UEFA Europa League,AM,Forward,GHA,27,18.81,83,3,6.27
Maks Ebonh,Astana FK,UEFA Europa Conference League,CM,Midfielder,BLR,25,23.95,333,4,5.99
Maks Juraj Čelić,Borac Banja Luka,UEFA Europa Conference League,LW,Forward,CRO,28,4.86,1,1,4.86
Maksim Budźko,Dinamo Minsk,UEFA Europa Conference League,AM,Forward,BLR,20,5.28,5,1,5.28
Maksym Braharu,Dynamo Kyiv,UEFA Europa League,LM,Forward,UKR,22,18.03,46,3,6.01
