Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Fabrice Ondoa,J2,GK,Goalkeeper,FK Rīgas FS,UEFA Europa League,90,6.64,28,CMR
Günay Güvenç,J2,GK,Goalkeeper,Galatasaray,UEFA Europa League,90,5.8,33,NAN
Diogo Costa,J2,GK,Goalkeeper,Porto,UEFA Europa League,90,5.82,25,POR
André Onana,J2,GK,Goalkeeper,Manchester Utd,UEFA Europa League,90,6.27,28,CMR
Jack Butland,J2,GK,Goalkeeper,Rangers,UEFA Europa League,90,5.38,31,ENG
Lucas Perri,J2,GK,Goalkeeper,Lyon,UEFA Europa League,90,6.66,26,BRA
Fabijan Buntić,J2,GK,Goalkeeper,Qarabağ,UEFA Europa League,90,6.17,27,CRO
Johan Dahlin,J2,GK,Goalkeeper,Malmö,UEFA Europa League,45,5.36,38,SWE
Ricardo,J2,GK,Goalkeeper,Malmö,UEFA Europa League,45,6.63,31,BRA
Marco Carnesecchi,J19,GK,Goalkeeper,Atalanta,Italian Serie A,90,6.95,24,ITA
Michele Di Gregorio,J19,GK,Goalkeeper,Juventus,Italian Serie A,90,6.48,27,ITA
Anthony Moris,J2,GK,Goalkeeper,Union SG,UEFA Europa League,90,6.98,34,LUX
Nikita Haikin,J2,GK,Goalkeeper,Bodø/Glimt,UEFA Europa League,90,7.52,29,RUS
Martin Jedlička,J2,GK,Goalkeeper,Viktoria Plzeň,UEFA Europa League,90,7.47,26,CZE
Hendrik Bonmann,J2,GK,Goalkeeper,Ludogorets,UEFA Europa League,90,7.59,30,GER
Lars Unnerstall,J2,GK,Goalkeeper,Twente,UEFA Europa League,90,6.41,34,GER
